title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
"Software Configuration Engineering in Practice Interviews, Survey, and Systematic Literature Review","Modern software applications are adapted to different situations (e.g., memory limits, enabling/disabling features, database credentials) by changing the values of configuration options, without any source code modifications. According to several studies, this flexibility is expensive as configuration failures represent one of the most common types of software failures. They are also hard to debug and resolve as they require a lot of effort to detect which options are misconfigured among a large number of configuration options and values, while comprehension of the code also is hampered by sprinkling conditional checks of the values of configuration options. Although researchers have proposed various approaches to help debug or prevent configuration failures, especially from the end users’ perspective, this paper takes a step back to understand the process required by practitioners to engineer the run-time configuration options in their source code, the challenges they experience as well as best practices that they have or could adopt. By interviewing 14 software engineering experts, followed by a large survey on 229 Java software engineers, we identified 9 major activities related to configuration engineering, 22 challenges faced by developers, and 24 expert recommendations to improve software configuration quality. We complemented this study by a systematic literature review to enrich the experts’ recommendations, and to identify possible solutions discussed and evaluated by the research community for the developers’ problems and challenges. We find that developers face a variety of challenges for all nine configuration engineering activities, starting from the creation of options, which generally is not planned beforehand and increases the complexity of a software system, to the non-trivial comprehension and debugging of configurations, and ending with the risky maintenance of configuration options, since developers avoid touching and changing configuration options in a mature system. We also find that researchers thus far focus primarily on testing and debugging configuration failures, leaving a large range of opportunities for future work.","[{'authorId': '3045536', 'name': 'M. Sayagh'}, {'authorId': '2630405', 'name': 'Noureddine Kerzazi'}, {'authorId': '143612725', 'name': 'Bram Adams'}, {'authorId': '145400424', 'name': 'Fábio Petrillo'}]",2020.0,IEEE Transactions on Software Engineering,"{'volume': '46', 'pages': '646-673', 'name': 'IEEE Transactions on Software Engineering'}",https://www.semanticscholar.org/paper/b903cfd885d8970b6f68458eed0f36e121b40445,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/TSE.2018.2867847?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/TSE.2018.2867847, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",64.0,128.0,,"['JournalArticle', 'Review']",['Computer Science'],"{'MAG': '2889155451', 'DBLP': 'journals/tse/SayaghKAP20', 'DOI': '10.1109/TSE.2018.2867847', 'CorpusId': 57358701}",7.0,"M. Sayagh, Noureddine Kerzazi, Bram Adams, Fábio Petrillo","JournalArticle, Review","MAG:2889155451, DBLP:journals/tse/SayaghKAP20, DOI:10.1109/TSE.2018.2867847, CorpusId:57358701"
Sampling Effect on Performance Prediction of Configurable Systems: A Case Study,"Numerous software systems are highly configurable and provide a myriad of configuration options that users can tune to fit their functional and performance requirements (e.g., execution time). Measuring all configurations of a system is the most obvious way to understand the effect of options and their interactions, but is too costly or infeasible in practice. Numerous works thus propose to measure only a few configurations (a sample) to learn and predict the performance of any combination of options' values. A challenging issue is to sample a small and representative set of configurations that leads to a good accuracy of performance prediction models. A recent study devised a new algorithm, called distance-based sampling, that obtains state-of-the-art accurate performance predictions on different subject systems. In this paper, we replicate this study through an in-depth analysis of x264, a popular and configurable video encoder. We systematically measure all 1,152 configurations of x264 with 17 input videos and two quantitative properties (encoding time and encoding size). Our goal is to understand whether there is a dominant sampling strategy over the very same subject system (x264), i.e., whatever the workload and targeted performance properties. The findings from this study show that random sampling leads to more accurate performance models. However, without considering random, there is no single ""dominant"" sampling, instead different strategies perform best on different inputs and non-functional properties, further challenging practitioners and researchers.","[{'authorId': '145526242', 'name': 'Juliana Alves Pereira'}, {'authorId': '2191325', 'name': 'M. Acher'}, {'authorId': '143688027', 'name': 'Hugo Martin'}, {'authorId': '145810487', 'name': 'J. Jézéquel'}]",2020.0,International Conference on Performance Engineering,{'name': 'Proceedings of the ACM/SPEC International Conference on Performance Engineering'},https://www.semanticscholar.org/paper/44dec4a047c66e22d9d9f8e6feb3c91450400dbf,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1145/3358960.3379137?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3358960.3379137, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",63.0,76.0,,"['JournalArticle', 'Book']",['Computer Science'],"{'DBLP': 'conf/wosp/PereiraA0J20', 'MAG': '2992291905', 'DOI': '10.1145/3358960.3379137', 'CorpusId': 213887611}",3.0,"Juliana Alves Pereira, M. Acher, Hugo Martin, J. Jézéquel","JournalArticle, Book","DBLP:conf/wosp/PereiraA0J20, MAG:2992291905, DOI:10.1145/3358960.3379137, CorpusId:213887611"
Engineering AI Systems: A Research Agenda,"Artificial intelligence (AI) and machine learning (ML) are increasingly broadly adopted in industry. However, based on well over a dozen case studies, we have learned that deploying industry-strength, production quality ML models in systems proves to be challenging. Companies experience challenges related to data quality, design methods and processes, performance of models as well as deployment and compliance. We learned that a new, structured engineering approach is required to construct and evolve systems that contain ML/DL components. In this chapter, the authors provide a conceptualization of the typical evolution patterns that companies experience when employing ML as well as an overview of the key problems experienced by the companies that they have studied. The main contribution of the chapter is a research agenda for AI engineering that provides an overview of the key engineering challenges surrounding ML solutions and an overview of open items that need to be addressed by the research community at large.","[{'authorId': '144913779', 'name': 'J. Bosch'}, {'authorId': '1704617', 'name': 'I. Crnkovic'}, {'authorId': '40225855', 'name': 'H. Olsson'}]",2020.0,"Advances in Systems Analysis, Software Engineering, and High Performance Computing","{'volume': 'abs/2001.07522', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/0caa61c0ffa59fd74e11368b77e267bc27bf5564,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/2001.07522, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",121.0,29.0,,"['JournalArticle', 'Review']",['Computer Science'],"{'DBLP': 'journals/corr/abs-2001-07522', 'ArXiv': '2001.07522', 'MAG': '3001718840', 'DOI': '10.4018/978-1-7998-5101-1.CH001', 'CorpusId': 210838907}",8.0,"J. Bosch, I. Crnkovic, H. Olsson","JournalArticle, Review","DBLP:journals/corr/abs-2001-07522, ArXiv:2001.07522, MAG:3001718840, DOI:10.4018/978-1-7998-5101-1.CH001, CorpusId:210838907"
Predicting Performance of Software Configurations: There is no Silver Bullet,"Many software systems offer configuration options to tailor their functionality and non-functional properties (e.g., performance). Often, users are interested in the (performance-)optimal configuration, but struggle to find it, due to missing information on influences of individual configuration options and their interactions. In the past, various supervised machine-learning techniques have been used to predict the performance of all configurations and to identify the optimal one. In the literature, there is a large number of machine-learning techniques and sampling strategies to select from. It is unclear, though, to what extent they affect prediction accuracy. We have conducted a comparative study regarding the mean prediction accuracy when predicting the performance of all configurations considering 6 machine-learning techniques, 18 sampling strategies, and 6 subject software systems. We found that both the learning technique and the sampling strategy have a strong influence on prediction accuracy. We further observed that some learning techniques (e.g., random forests) outperform other learning techniques (e.g., k-nearest neighbor) in most cases. Moreover, as the prediction accuracy strongly depends on the subject system, there is no combination of a learning technique and sampling strategy that is optimal in all cases, considering the tradeoff between accuracy and measurement overhead, which is in line with the famous no-free-lunch theorem.","[{'authorId': '3236963', 'name': 'A. Grebhahn'}, {'authorId': '1708928', 'name': 'Norbert Siegmund'}, {'authorId': '1721771', 'name': 'S. Apel'}]",2019.0,arXiv.org,"{'volume': 'abs/1911.12643', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/4abdbde9480c62c858944ab02218d907fb0a53d0,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/1911.12643, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",16.0,70.0,,['JournalArticle'],['Computer Science'],"{'MAG': '2991131477', 'ArXiv': '1911.12643', 'DBLP': 'journals/corr/abs-1911-12643', 'CorpusId': 208512904}",0.0,"A. Grebhahn, Norbert Siegmund, S. Apel",JournalArticle,"MAG:2991131477, ArXiv:1911.12643, DBLP:journals/corr/abs-1911-12643, CorpusId:208512904"
Learning Very Large Configuration Spaces: What Matters for Linux Kernel Sizes,,"[{'authorId': '2191325', 'name': 'M. Acher'}, {'authorId': '143688027', 'name': 'Hugo Martin'}, {'authorId': '145526242', 'name': 'Juliana Alves Pereira'}, {'authorId': '2745458', 'name': 'Arnaud Blouin'}, {'authorId': '145810487', 'name': 'J. Jézéquel'}, {'authorId': '1866611', 'name': 'D. Khelladi'}, {'authorId': '1419487380', 'name': 'Luc Lesoil'}, {'authorId': '2454048', 'name': 'Olivier Barais'}]",2019.0,,"{'volume': '', 'name': ''}",https://www.semanticscholar.org/paper/0a41fcb9193b025e426fe1293d94989f83162db9,False,"{'url': '', 'status': None, 'license': None}",23.0,81.0,,,['Computer Science'],"{'MAG': '2980440682', 'CorpusId': 208099294}",2.0,"M. Acher, Hugo Martin, Juliana Alves Pereira, Arnaud Blouin, J. Jézéquel, D. Khelladi, Luc Lesoil, Olivier Barais",,"MAG:2980440682, CorpusId:208099294"
Learning From Thousands of Build Failures of Linux Kernel Configurations,,"[{'authorId': '2191325', 'name': 'M. Acher'}, {'authorId': '143688027', 'name': 'Hugo Martin'}, {'authorId': '145526242', 'name': 'Juliana Alves Pereira'}, {'authorId': '2745458', 'name': 'Arnaud Blouin'}, {'authorId': '1866611', 'name': 'D. Khelladi'}, {'authorId': '145810487', 'name': 'J. Jézéquel'}]",2019.0,,"{'volume': '', 'pages': '1-12', 'name': ''}",https://www.semanticscholar.org/paper/68971c8d3235c7ef42ba4c454499d6227645ef19,False,"{'url': '', 'status': None, 'license': None}",39.0,45.0,,,['Computer Science'],"{'MAG': '2964867822', 'CorpusId': 201131526}",2.0,"M. Acher, Hugo Martin, Juliana Alves Pereira, Arnaud Blouin, D. Khelladi, J. Jézéquel",,"MAG:2964867822, CorpusId:201131526"
Distance-Based Sampling of Software Configuration Spaces,"Configurable software systems provide a multitude of configuration options to adjust and optimize their functional and non-functional properties. For instance, to find the fastest configuration for a given setting, a brute-force strategy measures the performance of all configurations, which is typically intractable. Addressing this challenge, state-of-the-art strategies rely on machine learning, analyzing only a few configurations (i.e., a sample set) to predict the performance of other configurations. However, to obtain accurate performance predictions, a representative sample set of configurations is required. Addressing this task, different sampling strategies have been proposed, which come with different advantages (e.g., covering the configuration space systematically) and disadvantages (e.g., the need to enumerate all configurations). In our experiments, we found that most sampling strategies do not achieve a good coverage of the configuration space with respect to covering relevant performance values. That is, they miss important configurations with distinct performance behavior. Based on this observation, we devise a new sampling strategy, called distance-based sampling, that is based on a distance metric and a probability distribution to spread the configurations of the sample set according to a given probability distribution across the configuration space. This way, we cover different kinds of interactions among configuration options in the sample set. To demonstrate the merits of distance-based sampling, we compare it to state-of-the-art sampling strategies, such as t-wise sampling, on $10$ real-world configurable software systems. Our results show that distance-based sampling leads to more accurate performance models for medium to large sample sets.","[{'authorId': '133768069', 'name': 'Christian Kaltenecker'}, {'authorId': '3236963', 'name': 'A. Grebhahn'}, {'authorId': '1708928', 'name': 'Norbert Siegmund'}, {'authorId': '3123889', 'name': 'Jianmei Guo'}, {'authorId': '1721771', 'name': 'S. Apel'}]",2019.0,International Conference on Software Engineering,"{'pages': '1084-1094', 'name': '2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE)'}",https://www.semanticscholar.org/paper/e9e3fc1824f710eef0d98fa1f2e0951cfc0ab358,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICSE.2019.00112?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICSE.2019.00112, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",128.0,35.0,,"['Book', 'JournalArticle', 'Conference']",['Computer Science'],"{'DBLP': 'conf/icse/KalteneckerGSGA19', 'MAG': '3013238004', 'DOI': '10.1109/ICSE.2019.00112', 'CorpusId': 140068171}",21.0,"Christian Kaltenecker, A. Grebhahn, Norbert Siegmund, Jianmei Guo, S. Apel","Book, JournalArticle, Conference","DBLP:conf/icse/KalteneckerGSGA19, MAG:3013238004, DOI:10.1109/ICSE.2019.00112, CorpusId:140068171"
PLUS: Performance Learning for Uncertainty of Software,"Uncertainty is particularly critical in software performance engineering when it relates to the values of important parameters such as workload, operational profile, and resource demand, because such parameters inevitably affect the overall system performance. Prior work focused on monitoring the performance characteristics of software systems while considering influence of configuration options. The problem of incorporating uncertainty as a first-class concept in the software development process to identify performance issues is still challenging. The PLUS (Performance Learning for Uncertainty of Software) approach aims at addressing these limitations by investigating the specification of a new class of performance models capturing how the different uncertainties underlying a software system affect its performance characteristics. The main goal of PLUS is to answer a fundamental question in the software performance engineering domain: How to model the variable configuration options (i.e., software and hardware resources) and their intrinsic uncertainties (e.g., resource demand, processor speed) to represent the performance characteristics of software systems? This way, software engineers are exposed to a quantitative evaluation of their systems that supports them in the task of identifying performance critical configurations along with their uncertainties.","[{'authorId': '2249320461', 'name': 'Catia Trubiani'}, {'authorId': '2249228784', 'name': 'Sven Apel'}]",2019.0,2019 IEEE/ACM 41st International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER),"{'pages': '77-80', 'name': '2019 IEEE/ACM 41st International Conference on Software Engineering: New Ideas and Emerging Results (ICSE-NIER)'}",https://www.semanticscholar.org/paper/f35d6bc646a6d36427801eabd22c538f16073745,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICSE-NIER.2019.00028?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICSE-NIER.2019.00028, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",7.0,23.0,,"['JournalArticle', 'Conference']",['Computer Science'],"{'DBLP': 'conf/icse/TrubianiA19', 'MAG': '2954449296', 'DOI': '10.1109/ICSE-NIER.2019.00028', 'CorpusId': 173176357}",0.0,"Catia Trubiani, Sven Apel","JournalArticle, Conference","DBLP:conf/icse/TrubianiA19, MAG:2954449296, DOI:10.1109/ICSE-NIER.2019.00028, CorpusId:173176357"
Automated Search for Configurations of Deep Neural Network Architectures,"Deep Neural Networks (DNNs) are intensively used to solve a wide variety of complex problems. Although powerful, such systems require manual configuration and tuning. To this end, we view DNNs as configurable systems and propose an end-to-end framework that allows the configuration, evaluation and automated search for DNN architectures. Therefore, our contribution is threefold. First, we model the variability of DNN architectures with a Feature Model (FM) that generalizes over existing architectures. Each valid configuration of the FM corresponds to a valid DNN model that can be built and trained. Second, we implement, on top of Tensorflow, an automated procedure to deploy, train and evaluate the performance of a configured model. Third, we propose a method to search for configurations and demonstrate that it leads to good DNN models. We evaluate our method by applying it on image classification tasks (MNIST, CIFAR-10) and show that, with limited amount of computation and training, our method can identify high-performing architectures (with high accuracy). We also demonstrate that we outperform existing state-of-the-art architectures handcrafted by ML researchers. Our FM and framework have been released %and are publicly available to support replication and future research.","[{'authorId': '2399971', 'name': 'Salah Ghamizi'}, {'authorId': '2478227', 'name': 'Maxime Cordy'}, {'authorId': '37766916', 'name': 'Mike Papadakis'}, {'authorId': '47681863', 'name': 'Y. L. Traon'}]",2019.0,arXiv.org,"{'volume': 'abs/1904.04612', 'name': 'ArXiv'}",https://www.semanticscholar.org/paper/df5021deca82a398cbb6d1bc2cffbab0eb37cac5,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://arxiv.org/abs/1904.04612, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",5.0,39.0,,['JournalArticle'],"['Computer Science', 'Mathematics']","{'DBLP': 'journals/corr/abs-1904-04612', 'MAG': '2939464253', 'ArXiv': '1904.04612', 'CorpusId': 104291797}",1.0,"Salah Ghamizi, Maxime Cordy, Mike Papadakis, Y. L. Traon",JournalArticle,"DBLP:journals/corr/abs-1904-04612, MAG:2939464253, ArXiv:1904.04612, CorpusId:104291797"
Uniform Sampling of SAT Solutions for Configurable Systems: Are We There Yet?,"Uniform or near-uniform generation of solutions for large satisfiability formulas is a problem of theoretical and practical interest for the testing community. Recent works proposed two algorithms (namely UniGen and QuickSampler) for reaching a good compromise between execution time and uniformity guarantees, with empirical evidence on SAT benchmarks. In the context of highly-configurable software systems (e.g., Linux), it is unclear whether UniGen and QuickSampler can scale and sample uniform software configurations. In this paper, we perform a thorough experiment on 128 real-world feature models. We find that UniGen is unable to produce SAT solutions out of such feature models. Furthermore, we show that QuickSampler does not generate uniform samples and that some features are either never part of the sample or too frequently present. Finally, using a case study, we characterize the impacts of these results on the ability to find bugs in a configurable system. Overall, our results suggest that we are not there: more research is needed to explore the cost-effectiveness of uniform sampling when testing large configurable systems.","[{'authorId': '22675564', 'name': 'Quentin Plazar'}, {'authorId': '2191325', 'name': 'M. Acher'}, {'authorId': '2895342', 'name': 'Gilles Perrouin'}, {'authorId': '2212443', 'name': 'Xavier Devroey'}, {'authorId': '2367515277', 'name': 'Maxime Cordy'}]",2019.0,International Conference on Information Control Systems & Technologies,"{'pages': '240-251', 'name': '2019 12th IEEE Conference on Software Testing, Validation and Verification (ICST)'}",https://www.semanticscholar.org/paper/04e42fcb3a4f3fbb0942455c0eae8752633e10fe,True,"{'url': 'https://hal.inria.fr/hal-01991857/file/Uniform_Sampling_of_SAT_Solutions_for_Configurable_Systems__Are_We_There_Yet____footnotesize_textsuperscript__%20%283%29.pdf', 'status': 'GREEN', 'license': 'other-oa', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/ICST.2019.00032?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/ICST.2019.00032, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",99.0,42.0,,"['JournalArticle', 'Conference']",['Computer Science'],"{'DBLP': 'conf/icst/PlazarAPDC19', 'MAG': '2941640074', 'DOI': '10.1109/ICST.2019.00032', 'CorpusId': 78088771}",12.0,"Quentin Plazar, M. Acher, Gilles Perrouin, Xavier Devroey, Maxime Cordy","JournalArticle, Conference","DBLP:conf/icst/PlazarAPDC19, MAG:2941640074, DOI:10.1109/ICST.2019.00032, CorpusId:78088771"
