DOI,Title,Authors,Journal,Year,Abstract,ResearchRabbitId,Cited By,References,PubMedId
(missing DOI),Analyzing the Past to Prepare for the Future: Writing a Literature Review,"J. Webster, R. Watson",MIS Q.,2002,"A review of prior, relevant literature is an essential feature of any academic project. An effective review creates a firm foundation for advancing knowledge. It facilitates theory development, closes areas where a plethora of research exists, and uncovers areas where research is needed.",276513234,9214,43,(missing PubMedId)
(missing DOI),The knowledge-creating company : how Japanese companies create the dynamics of innovation,(missing authors),(missing journal),1994,(missing abstract),276475934,11161,0,(missing PubMedId)
(missing DOI),Excerpts from : The Discovery of Grounded Theory : Strategies for Qualitative Research,"L. Anselm, Strauss, Andrew J. Cerniglia",(missing journal),2007,"Most writing on sociological method has been concerned with how accurate facts can be obtained and how theory can thereby be more rigorously tested. In The Discovery of Grounded Theory, Barney Glaser and Anselm Strauss address the equally Important enterprise of how the discovery of theory from data--systematically obtained and analyzed in social research--can be furthered. The discovery of theory from data--grounded theory--is a major task confronting sociology, for such a theory fits empirical situations, and is understandable to sociologists and laymen alike. Most important, it provides relevant predictions, explanations, interpretations, and applications. In Part I of the book, ""Generation Theory by Comparative Analysis,"" the authors present a strategy whereby sociologists can facilitate the discovery of grounded theory, both substantive and formal. This strategy involves the systematic choice and study of several comparison groups. In Part II, The Flexible Use of Data,"" the generation of theory from qualitative, especially documentary, and quantitative data Is considered. In Part III, ""Implications of Grounded Theory,"" Glaser and Strauss examine the credibility of grounded theory. The Discovery of Grounded Theory is directed toward improving social scientists' capacity for generating theory that will be relevant to their research. While aimed primarily at sociologists, it will be useful to anyone Interested In studying social phenomena--political, educational, economic, industrial-- especially If their studies are based on qualitative data.",276454519,57724,3,(missing PubMedId)
(missing DOI),Learning from Bugs,"J. Kajihara, G. Amamiya, T. Saya",IEEE Software,1992,"The SWQC program, a software quality-control program implemented at NEC that instills quality and teaches responsibility on the individual, group, and organizational levels, is reviewed. The critical elements of the program, the top-down and grass roots organizational models used in software quality control, and the twelve grass-roots quality-control activities used in SWQC are discussed, as are the most important implementation issues faced in applying SWQC: training, applying quality control to many kinds of software, and expanding the program to other areas within the company.<<ETX>>",266131172,13,3,(missing PubMedId)
(missing DOI),Excerpts from : The Discovery of Grounded Theory : Strategies for Qualitative Research,"L. Anselm, Strauss, Andrew J. Cerniglia",(missing journal),2007,"Most writing on sociological method has been concerned with how accurate facts can be obtained and how theory can thereby be more rigorously tested. In The Discovery of Grounded Theory, Barney Glaser and Anselm Strauss address the equally Important enterprise of how the discovery of theory from data--systematically obtained and analyzed in social research--can be furthered. The discovery of theory from data--grounded theory--is a major task confronting sociology, for such a theory fits empirical situations, and is understandable to sociologists and laymen alike. Most important, it provides relevant predictions, explanations, interpretations, and applications. In Part I of the book, ""Generation Theory by Comparative Analysis,"" the authors present a strategy whereby sociologists can facilitate the discovery of grounded theory, both substantive and formal. This strategy involves the systematic choice and study of several comparison groups. In Part II, The Flexible Use of Data,"" the generation of theory from qualitative, especially documentary, and quantitative data Is considered. In Part III, ""Implications of Grounded Theory,"" Glaser and Strauss examine the credibility of grounded theory. The Discovery of Grounded Theory is directed toward improving social scientists' capacity for generating theory that will be relevant to their research. While aimed primarily at sociologists, it will be useful to anyone Interested In studying social phenomena--political, educational, economic, industrial-- especially If their studies are based on qualitative data.",266005512,57739,3,(missing PubMedId)
(missing DOI),Synthesising qualitative and quantitative evidence: A review of possible methods,"M. Dixon-Woods, Shona Agarwal, David R. Jones, B. Young, A. Sutton",(missing journal),2004,"Background The limitations of traditional forms of systematic review in making optimal use of all forms of evidence are increasingly evident, especially for policy-makers and practitioners. There is an urgent need for robust ways of incorporating qualitative evidence into systematic reviews. Objectives In this paper we provide a brief overview and critique of a selection of strategies for synthesising qualitative and quantitative evidence, ranging from techniques that are largely qualitative and interpretive through to techniques that are largely quantitative and integrative. Results A range of methods is available for synthesising diverse forms of evidence. These include narrative summary, thematic analysis, grounded theory, meta-ethnography, meta-study, realist synthesis, Miles and Huberman's data analysis techniques, content analysis, case survey, qualitative comparative analysis and Bayesian meta-analysis. Methods vary in their strengths and weaknesses, ability to deal with qualitative and quantitative forms of evidence, and type of question for which they are most suitable. Conclusions We identify a number of procedural, conceptual and theoretical issues that need to be addressed in moving forward with this area, and emphasise the need for existing techniques to be evaluated and modified, rather than inventing new approaches.",261290719,1859,53,(missing PubMedId)
(missing DOI),The Knowledge-creating company: How Japanese companies create the dynamics of innovation,"Ikujiro Nonaka, Hirotaka Takeuchi",Research Policy,1997,(missing abstract),261044124,16462,0,(missing PubMedId)
(missing DOI),Working knowledge: how organizations manage what they know,"Thomas H. Davenport, Lawrence  Prusak",UBIQ,1999,"From the Publisher: \nThe definitive primer on knowledge management, this book will establish the enduring vocabulary and concepts and serve as the hands-on resource of choice for fast companies that recognize knowledge as the only sustainable source of competitive advantage. Drawing on their work with more than 30 knowledge-rich firms, the authors-experienced consultants with a track record of success-examine how all types of companies can effectively understand, analyze, measure, and manage their intellectual assets, turning corporate knowledge into market value. They consider such questions as: What key cultural and behavioral issues must managers address to use knowledge effectively?; What are the best ways to incorporate technology into knowledge work?; What does a successful knowledge project look like-and how do you know when it has succeeded? In the end, say the authors, the human qualities of knowledge-experience, intuition, and beliefs-are the most valuable and the most difficult to manage. Applying the insights of Working Knowledge is every manager's first step on that rewarding road to long-term success. A Library Journal Best Business Book of the Year. For an entire company...to have knowledge, that information must be coordinated and made accessible. Thomas H. Davenport...and Laurence Prusak... offer an elegantly simple overview of the 'knowledge market' aimed at fulfilling that goal.... Working Knowledge provides practical advice about implementing a knowledge-management system....A solid dose of common sense for any company looking to acquire -- or maintain -- a competitive edge.--Upside, June 1998",260955353,8527,0,(missing PubMedId)
(missing DOI),Analyzing the past to prepare for the future: writing a literature review,"Jane Webster, Richard T. Watson",Management Information Systems Quarterly,2002,"A review of prior, relevant literature is an essential feature of any academic project. An effective review creates a firm foundation for advancing knowledge. It facilitates theory development, closes areas where a plethora of research exists, and uncovers areas where research is needed.",260896400,9670,45,(missing PubMedId)
(missing DOI),Evidence-based software engineering,"B. Kitchenham, T. Dybå, M. Jørgensen",Proceedings. 26th International Conference on Software Engineering,2004,"Our objective is to describe how software engineering might benefit from an evidence-based approach and to identify the potential difficulties associated with the approach. We compared the organisation and technical infrastructure supporting evidence-based medicine (EBM) with the situation in software engineering. We considered the impact that factors peculiar to software engineering (i.e. the skill factor and the lifecycle factor) would have on our ability to practice evidence-based software engineering (EBSE). EBSE promises a number of benefits by encouraging integration of research results with a view to supporting the needs of many different stakeholder groups. However, we do not currently have the infrastructure needed for widespread adoption of EBSE. The skill factor means software engineering experiments are vulnerable to subject and experimenter bias. The lifecycle factor means it is difficult to determine how technologies will behave once deployed. Software engineering would benefit from adopting what it can of the evidence approach provided that it deals with the specific problems that arise from the nature of software engineering.",260884353,1136,30,(missing PubMedId)
