oci,citing,cited,creation,timespan,journal_sc,author_sc
061702332233-06803619990,10.1145/3275245.3275260,10.1109/chase.2009.5071412,2018-10-17,P9Y,no,no
061702332233-0660719115,10.1145/3275245.3275260,10.1109/mis.2001.912381,2018-10-17,P17Y9M,no,no
061702332233-06602859472,10.1145/3275245.3275260,10.1007/978-3-319-31232-3_6,2018-10-17,P2Y,no,no
061702332233-0670297500,10.1145/3275245.3275260,10.1145/347634.348775,2018-10-17,P18Y2M,no,no
061702332233-061303108498,10.1145/3275245.3275260,10.1016/j.infsof.2007.07.002,2018-10-17,P10Y5M,no,no
061702332233-062502235111,10.1145/3275245.3275260,10.1007/978-3-319-63558-3_17,2018-10-17,P1Y,no,no
061702332233-0616059172,10.1145/3275245.3275260,10.1007/978-3-662-05129-0,2018-10-17,P15Y,no,no
061702332233-061802968772,10.1145/3275245.3275260,10.1109/agile.2012.17,2018-10-17,P6Y2M,no,no
061702332233-062301875377,10.1145/3275245.3275260,10.1016/s0272-6963(98)00024-2,2018-10-17,P20Y3M,no,no
061702332233-061603085532,10.1145/3275245.3275260,10.1007/978-3-642-10488-6_33,2018-10-17,P9Y,no,no
061702332233-06501939034,10.1145/3275245.3275260,10.1109/mysec.2015.7475204,2018-10-17,P2Y10M,no,no
061702332233-062203497903,10.1145/3275245.3275260,10.1108/01435129910285136,2018-10-17,P18Y11M16D,no,no
061702332233-061303108508,10.1145/3275245.3275260,10.1016/j.infsof.2007.05.005,2018-10-17,P10Y5M,no,no
061702332233-061602914191,10.1145/3275245.3275260,10.1109/iwsm-mensura.2013.44,2018-10-17,P5Y0M,no,no
061702332233-06702500136,10.1145/3275245.3275260,10.1016/j.tele.2017.09.007,2018-10-17,P0Y6M,no,no
061702332233-06202769858,10.1145/3275245.3275260,10.1145/1226736.1226739,2018-10-17,P11Y7M,no,no
061702332233-061203116328,10.1145/3275245.3275260,10.1016/j.infsof.2015.12.007,2018-10-17,P2Y6M,no,no
061702332233-062301030129,10.1145/3275245.3275260,10.1287/orsc.1080.0412,2018-10-17,P9Y4M,no,no
061702332233-061602150348,10.1145/3275245.3275260,10.7551/mitpress/4073.001.0001,2018-10-17,P19Y,no,no
061702332233-061401792729,10.1145/3275245.3275260,10.1108/13673271011015606,2018-10-17,P8Y7M24D,no,no
061702332233-061101935921,10.1145/3275245.3275260,10.1142/s0218194012500027,2018-10-17,P6Y8M,no,no
061702332233-061901216207,10.1145/3275245.3275260,10.1109/ms.2002.1003450,2018-10-17,P16Y5M,no,no
061702332233-06502958019,10.1145/3275245.3275260,10.1109/ieem.2014.7058645,2018-10-17,P3Y10M,no,no
061702332233-061203116639,10.1145/3275245.3275260,10.1016/j.infsof.2013.05.004,2018-10-17,P4Y11M,no,no
061702332233-061302507195,10.1145/3275245.3275260,10.1109/qrs-c.2015.48,2018-10-17,P3Y2M,no,no
061702332233-06701283101,10.1145/3275245.3275260,10.1016/j.ijproman.2013.02.007,2018-10-17,P4Y9M,no,no
061702332233-06503449187,10.1145/3275245.3275260,10.1007/978-3-540-30181-3_12,2018-10-17,P14Y,no,no
061702332233-062602244217,10.1145/3275245.3275260,10.4324/9780080547367,2018-10-17,P5Y1M12D,no,no
061702332233-061303108435,10.1145/3275245.3275260,10.1016/j.infsof.2008.03.006,2018-10-17,P10Y0M,no,no
061702332233-061401792833,10.1145/3275245.3275260,10.1108/13673270810884219,2018-10-17,P10Y2M29D,no,no
061702332233-061801660642,10.1145/3275245.3275260,10.1111/isj.12117,2018-10-17,P2Y1M29D,no,no
061702332233-061203116522,10.1145/3275245.3275260,10.1016/j.infsof.2014.05.016,2018-10-17,P3Y9M,no,no
061702332233-06903002178,10.1145/3275245.3275260,10.1201/b12285,2018-10-17,P6Y3M22D,no,no
061702332233-062101970567,10.1145/3275245.3275260,10.1007/s13042-015-0370-5,2018-10-17,P3Y5M5D,no,no
061702332233-061401792722,10.1145/3275245.3275260,10.1108/13673271011032427,2018-10-17,P8Y6M11D,no,no
061702332233-06903024034,10.1145/3275245.3275260,10.1109/esem.2011.45,2018-10-17,P7Y1M,no,no
061702332233-061602535485,10.1145/3275245.3275260,10.1109/chase.2015.27,2018-10-17,P3Y5M,no,no
