Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
022-652-082-782-570,A Framework for a Knowledge Management System in a Cloud Computing Environment Using a Knowledge Engineering Approach,,2015,journal article,International Journal of Knowledge Engineering-IACSIT,23826185,EJournal Publishing,,Anuchit Anupan; Prachyanun Nilsook; Panita Wannapiroon,This study aims to design a framework for a knowledge management system in a cloud computing environment using a knowledge engineering approach. The research comprised 2 steps: 1) analyzing and synthesizing the relevant literature with regard to knowledge management systems in a cloud computing environment using a knowledge engineering approach and 2) designing a framework for a knowledge management system in a cloud computing environment using a knowledge engineering approach. Data were analyzed using content analysis. A knowledge management system consists of four components as follows: 1) knowledge retrieval 2) knowledge storage 3) knowledge sharing and 4) knowledge publishing. The knowledge engineering approach consists of three components as follows: 1) knowledge acquisition 2) knowledge storage and 3) knowledge utilization.,1,2,146,149,Computer science; Knowledge management; Cloud computing; Knowledge engineering,Knowledge management system; cloud computing environment; knowledge engineering,,,,http://dx.doi.org/10.7763/ijke.2015.v1.25,http://dx.doi.org/10.7763/ijke.2015.v1.25,,10.7763/ijke.2015.v1.25,3084010698,,0,000-009-081-165-561; 001-368-829-400-041; 009-416-829-760-797; 015-287-453-301-785; 024-547-038-640-928; 024-843-062-294-216; 025-596-912-420-68X; 026-048-337-782-586; 036-020-983-619-220; 046-160-544-553-36X; 053-305-888-836-943; 054-215-204-605-27X; 064-650-243-444-99X; 068-199-303-808-41X; 087-517-407-863-19X; 088-318-849-093-879; 090-060-366-784-524; 098-628-398-443-708; 104-887-804-743-661; 110-519-686-620-633; 115-297-186-768-237; 147-011-636-913-206; 181-820-719-831-591,11,true,,bronze
031-307-112-855-507,Knowledge management initiatives in software testing: A mapping study,,2015,journal article,Information and Software Technology,09505849,Elsevier BV,Netherlands,Érica Ferreira de Souza; Ricardo de Almeida Falbo; Nandamudi Lankalapalli Vijaykumar,,57,57,378,391,Engineering; Test case; Descriptive knowledge; Set (abstract data type); Point (typography); Reuse; Test (assessment); Context (language use); Process (engineering); Knowledge management,Software Testing; Knowledge Management; Mapping Study,,,FAPESP; FAPES; CNPq,https://www.sciencedirect.com/science/article/abs/pii/S0950584914001335 http://www.sciencedirect.com/science/article/pii/S0950584914001335 http://dblp.uni-trier.de/db/journals/infsof/infsof57.html#SouzaFV15 https://dblp.uni-trier.de/db/journals/infsof/infsof57.html#SouzaFV15 https://dx.doi.org/10.1016/j.infsof.2014.05.016 https://dialnet.unirioja.es/servlet/articulo?codigo=6000829 https://www.bv.fapesp.br/pt/publicacao/103011/knowledge-management-initiatives-in-software-testing-a-mappi/,http://dx.doi.org/10.1016/j.infsof.2014.05.016,,10.1016/j.infsof.2014.05.016,2025566381,,0,001-692-356-882-507; 001-694-438-343-725; 002-500-811-705-914; 003-123-397-010-687; 003-660-821-921-003; 005-842-894-870-067; 007-539-105-978-229; 008-176-229-506-49X; 008-848-471-593-930; 009-731-252-343-20X; 010-299-168-451-588; 012-550-858-473-020; 020-294-246-239-137; 023-450-318-080-139; 024-843-062-294-216; 029-755-208-510-500; 029-869-359-376-500; 031-056-855-501-837; 034-702-120-144-00X; 043-894-684-983-680; 046-962-497-167-283; 049-442-971-106-059; 050-405-450-488-904; 061-655-743-310-203; 061-879-798-977-34X; 062-437-003-740-145; 064-647-197-240-744; 066-182-849-741-970; 066-927-171-766-907; 068-889-807-099-686; 072-416-678-279-158; 079-449-908-204-473; 079-940-699-403-598; 083-192-640-703-303; 097-599-490-720-863; 101-025-186-648-625; 101-176-260-587-612; 121-476-627-613-953; 122-445-928-318-805; 125-560-999-676-098; 132-299-234-444-321; 138-995-280-154-71X; 145-413-294-328-582; 160-414-405-452-526; 160-499-687-741-101; 164-372-838-998-420; 171-112-568-207-74X; 178-031-700-506-422; 179-397-843-259-628; 181-388-698-910-337; 182-099-857-852-054; 188-270-934-006-923; 191-265-689-837-601,48,false,,
033-639-639-375-474,Patients' contribution to the development of a web-based plan for integrated care - a participatory design study.,2014-04-30,2014,journal article,Informatics for health & social care,17538165; 17538157,Informa Healthcare,United Kingdom,Jorunn Bjerkan; Marianne Hedlund; Ragnhild Hellesø,"Aims and objectives: The aim was to explore how a participatory design (PD) approach involving adult patients and parents of children with disabilities could contribute to the development of an electronic “Individual Care Plan” (e-ICP) in Norway. The system was intended to simplify multi-disciplinary cross-sector documentation and collaboration between care professionals and patients in care planning.Methods: The data in the study comprised semi-structured interviews with patients and parents, as well as field notes. Systematic text condensation (STC) in a stepwise analysis model was performed on the data.Results: Testing through three phases resulted in system improvements and additional functionality according to the participating patients’ needs and requests. PD was initially applied, enabling a constructive dialogue between developers and patients. System training and collecting patient expectations was a preliminary task. Patients then brought testing experiences to the system developers, focusing fi...",40,2,167,184,Web application; Nursing; Patient participation; Participatory design; Integrated care; Task (project management); Documentation; Plan (drawing); System testing; Medicine,Individual care plan; participatory design; patient and public involvement; patient participation; patient-centred care; system testing; user-centred design,Child; Cooperative Behavior; Children with Disabilities; Persons with Disabilities; Female; Humans; Internet; Interviews as Topic; Male; Norway; Parents; Patient Care Planning/organization & administration; Patient Participation,,,https://pubmed.ncbi.nlm.nih.gov/24786524/ https://www.tandfonline.com/doi/full/10.3109/17538157.2014.907803 https://www.ncbi.nlm.nih.gov/pubmed/24786524,http://dx.doi.org/10.3109/17538157.2014.907803,24786524,10.3109/17538157.2014.907803,2138808027,,0,000-832-590-018-704; 001-326-657-422-571; 002-882-688-490-597; 010-946-160-407-732; 012-928-457-575-319; 013-785-284-799-410; 014-578-788-517-004; 015-620-990-880-934; 017-619-465-191-211; 018-418-058-175-260; 019-619-614-857-914; 020-490-455-223-420; 024-843-062-294-216; 027-451-392-942-809; 029-317-277-834-111; 033-491-778-600-645; 039-685-212-039-194; 043-416-545-012-933; 043-921-978-493-573; 048-084-271-570-359; 051-943-782-246-762; 052-503-773-243-081; 055-140-276-348-850; 055-481-943-339-970; 057-223-310-409-589; 058-405-604-581-345; 059-431-206-042-667; 059-872-397-914-889; 060-682-125-855-385; 060-822-074-342-150; 063-204-123-644-384; 070-875-178-006-938; 071-078-381-115-309; 077-745-442-768-632; 081-897-219-952-573; 084-746-503-389-803; 090-846-798-251-902; 093-173-219-291-658; 095-013-894-151-835; 095-727-036-253-346; 113-383-845-385-431; 117-635-662-766-518; 125-955-315-721-107; 148-761-256-018-954; 149-109-282-562-039; 155-256-830-891-261; 163-763-534-038-705; 167-251-354-002-269; 172-504-255-205-195; 178-270-913-897-314,58,false,,
056-070-265-584-984,Managing Knowledge in Open Source Software Test Process,,2013,book chapter,Knowledge-Based Processes in Software Development,23273453; 23273461,IGI Global,,Tamer Abdou; Peter Grogono; Pankaj Kamthan,"<jats:p>The increasing adoption and use of Open Source Software (OSS) motivates study of its development. This chapter explores the state-of-the art in OSS development processes, in general, and OSS testing processes, in particular. A conceptual model for software Testing Knowledge Management (TKM) that aims to provide an understanding of the testing domain is introduced. The TKM model is informed by earlier studies and guided by international testing standards. Moreover, the TKM model is equipped with different forms of knowledge, reusable across software projects. Using the TKM model as an integrative conceptual model enables understanding of how knowledge life cycle stages are mapped onto the test process of OSS, what type of knowledge is created at each stage, and how knowledge is converted from one stage to another. The chapter is supported by representative examples of OSS that are mature and currently in widespread use.</jats:p>",,,135,149,Software engineering; Package development process; Software analytics; Social software engineering; Software construction; Backporting; Personal software process; Computer science; Software development; Software peer review,,,,,https://www.igi-global.com/chapter/managing-knowledge-in-open-source-software-test-process/84383,http://dx.doi.org/10.4018/978-1-4666-4229-4.ch009,,10.4018/978-1-4666-4229-4.ch009,101575415,,0,003-123-397-010-687; 008-097-842-307-08X; 008-590-096-667-567; 024-612-474-682-057; 024-843-062-294-216; 028-522-299-085-867; 028-581-425-232-099; 038-900-956-048-707; 043-502-548-921-412; 066-260-254-459-029; 068-201-771-716-372; 071-518-195-536-659; 089-243-068-143-346; 089-430-823-606-45X; 091-466-227-184-98X; 100-035-912-157-269; 101-789-478-176-260; 106-835-135-711-926; 115-124-251-758-41X; 121-872-444-508-370; 124-233-724-972-213; 137-111-720-014-292; 140-305-400-983-397; 147-724-863-924-60X; 165-503-469-324-749; 181-388-698-910-337; 183-781-916-184-630,2,false,,
057-663-226-592-447,Managing Knowledge in Open Source Software Test Process,,2015,book chapter,Open Source Technology,,IGI Global,,Tamer Abdou; Peter Grogono; Pankaj Kamthan,"<jats:p>The increasing adoption and use of Open Source Software (OSS) motivates study of its development. This chapter explores the state-of-the art in OSS development processes, in general, and OSS testing processes, in particular. A conceptual model for software Testing Knowledge Management (TKM) that aims to provide an understanding of the testing domain is introduced. The TKM model is informed by earlier studies and guided by international testing standards. Moreover, the TKM model is equipped with different forms of knowledge, reusable across software projects. Using the TKM model as an integrative conceptual model enables understanding of how knowledge life cycle stages are mapped onto the test process of OSS, what type of knowledge is created at each stage, and how knowledge is converted from one stage to another. The chapter is supported by representative examples of OSS that are mature and currently in widespread use.</jats:p>",,,918,932,Conceptual model; Process (computing); Knowledge management; Software engineering; Software development process; Computer science; Software development; Process management; Engineering; Software; Programming language; Database,,,,,,http://dx.doi.org/10.4018/978-1-4666-7230-7.ch043,,10.4018/978-1-4666-7230-7.ch043,,,0,003-123-397-010-687; 008-097-842-307-08X; 008-590-096-667-567; 024-843-062-294-216; 028-522-299-085-867; 028-581-425-232-099; 038-900-956-048-707; 043-502-548-921-412; 066-260-254-459-029; 068-201-771-716-372; 071-518-195-536-659; 089-243-068-143-346; 089-430-823-606-45X; 091-466-227-184-98X; 100-035-912-157-269; 106-835-135-711-926; 115-124-251-758-41X; 121-872-444-508-370; 124-233-724-972-213; 137-111-720-014-292; 140-305-400-983-397; 147-724-863-924-60X; 181-388-698-910-337,0,false,,
065-668-303-422-904,Investigating Software Testing Practices in Software Development Organizations: Sri Lankan Experience,,2020,book chapter,Advances in Computer and Electrical Engineering,2327039x; 23270403,IGI Global,,Shanmuganathan Vasanthapriyan,"<jats:p>Software testing, which is a knowledge-intensive and collaborative activity, is a sub-area of software engineering. Software testing knowledge can be applied to different testing tasks and purposes. Since software development is an error-prone task, in order to achieve quality software products, validation and verification should be carried throughout the development. This study, using qualitative methods, investigates the current practice of software testing practices in two software companies on the basis that they both claimed to apply software testing practices in their software development work. Interview results revealed some interesting latest trends in software testing from both companies. </jats:p>",,,251,265,Engineering management; Engineering; Software testing; Software development,,,,,https://www.igi-global.com/chapter/investigating-software-testing-practices-in-software-development-organizations/250446,http://dx.doi.org/10.4018/978-1-7998-2531-9.ch011,,10.4018/978-1-7998-2531-9.ch011,3009894629,,0,003-123-397-010-687; 005-581-015-958-634; 023-614-187-744-131; 024-843-062-294-216; 031-307-112-855-507; 032-736-425-579-779; 033-677-968-656-338; 036-196-294-689-118; 037-223-550-173-880; 038-121-658-014-91X; 046-295-403-569-956; 068-026-956-654-387; 083-216-375-741-141; 086-105-119-192-179; 098-079-173-495-196; 110-632-548-278-651; 120-523-873-280-827; 133-117-842-695-526; 134-150-049-930-122; 168-563-174-775-44X; 169-622-665-020-74X; 181-388-698-910-337; 195-960-966-332-442,0,false,,
074-908-704-164-420,Software Test Data Reuse Based on Domain Ontology Construction,,2021,conference proceedings article,"2021 IEEE 21st International Conference on Software Quality, Reliability and Security Companion (QRS-C)",,IEEE,,Chi Hu; Siyou Ma; Wansheng Yang; Zhe Sun; Fei Deng; Yonghui Yang,"CPS software has more specific defects and coupling defects than traditional computer systems. The testing and validation of CPS software are seriously affected by the cognitive level of individual testers, thus the quality of testing is difficult to guarantee. We believe that the knowledge reuse technology can address this problem to some extent. To achieve that, a construction method of CPS testing knowledge graph was carried out by our team, and the domain ontology of knowledge graph was organized and illustrated. After that, the key technologies such as automatic data extraction and intelligent retrieval were researched. Finally, a test data reuse approach based on knowledge graph was designed. With this approach, we expect to achieve the goal of turning the isolated island of test data into the semantic net of knowledge. Furthermore, increasing the reusability of test knowledge and reducing the defect omissions caused by cognitive deficiency of testers. In the end, this paper concludes the effect of the knowledge reuse-based testing method.",,,279,284,Computer science; Reuse; Reusability; Domain knowledge; Ontology; Software engineering; Domain engineering; Graph; Domain analysis; Software; Data mining; Software construction; Software system; Programming language; Engineering; Theoretical computer science; Philosophy; Epistemology; Waste management,,,,,,http://dx.doi.org/10.1109/qrs-c55045.2021.00049,,10.1109/qrs-c55045.2021.00049,,,0,007-573-565-093-367; 011-810-851-969-949; 014-940-199-138-996; 016-972-953-386-30X; 023-614-187-744-131; 023-683-099-837-206; 024-843-062-294-216; 026-967-742-807-166; 027-867-536-363-400; 036-264-064-600-909; 038-077-284-229-135; 039-984-921-771-329; 042-563-022-145-589; 043-145-579-884-359; 045-761-101-322-025; 047-179-166-798-47X; 074-323-290-582-652; 093-816-986-951-086; 097-056-786-540-094; 099-317-979-573-349; 111-486-013-224-44X; 115-437-707-790-299; 119-161-501-847-625; 158-642-288-841-591; 160-499-687-741-101; 174-416-495-794-331,0,false,,
084-362-024-695-018,Blockchain - A Blockchain-based Testing Approach for Collaborative Software Development,,2020,book,2020 IEEE International Conference on Blockchain (Blockchain),,IEEE,,Stephen S. Yau; Jinal S. Patel,"Development of large-scale and complex software systems requires multiple teams, including software development teams, domain experts, user representatives, and other project stakeholders, to work collaboratively to achieve software development goals. These teams rely on the use of agreed software development processes, knowledge management tools, and communication channels collaboratively in the software development project. Software testing is an important and complicated process due to reasons such as difficulties in achieving testing goals with the given time constraint, absence of efficient data sharing policies, vague testing acceptance criteria at various levels of testing, and lack of trusted coordination among the teams involved in software testing. The efficiency of the software testing relies on efficient, reliable, and trusted information sharing among these teams. Existing approaches to software testing for collaborative software development use centralized or decentralize tools for software testing, knowledge management, and communication channels. Existing approaches have the limitations of centralized authority, a single point of failure/compromise, lack of automatic requirement compliance checking and transparency in information sharing, and lack of unified data sharing policy, and reliable knowledge management repositories for sharing and storing past software testing artifacts and data. In this paper, a software testing approach for collaborative software development using private blockchain is presented, and the desirable properties of private blockchain, such as distributed data management, tamper-resistance, auditability and automatic requirement compliance checking, are incorporated to greatly improve the quality of software testing for collaborative software development.",,,98,105,Software engineering; Acceptance testing; Software system; Data management; Software development process; Information sharing; Data sharing; Computer science; Software development; Collaborative software,,,,,https://dblp.uni-trier.de/db/conf/blockchain2/blockchain2020.html#YauP20 https://asu.pure.elsevier.com/en/publications/a-blockchain-based-testing-approach-for-collaborative-software-de,http://dx.doi.org/10.1109/blockchain50366.2020.00020,,10.1109/blockchain50366.2020.00020,3112358940,,2,018-052-485-977-475; 024-843-062-294-216; 027-376-885-405-705; 027-719-185-630-567; 068-746-257-698-140; 083-250-619-676-614; 120-279-357-788-665; 181-388-698-910-337,13,false,,
089-733-872-187-261,International Journal of Knowledge Engineering,2013-09-25,2013,,,,,,Publisher: Bioinfo Publications,"The International Journal of Knowledge Engineering, ISSN: 0976–5816 & E-ISSN: 0976–5824, aims to publish all the latest and outstanding research articles, reviews and letters in all areas of Knowledge Engineering.",,,,,Library science; Engineering ethics; Medicine; Knowledge engineering,,,,,https://www.journal-index.org/index.php/asi/article/view/123,https://www.journal-index.org/index.php/asi/article/view/123,,,2186436098,,0,000-009-081-165-561; 001-368-829-400-041; 009-416-829-760-797; 015-287-453-301-785; 016-521-739-068-244; 016-920-943-081-620; 024-547-038-640-928; 024-843-062-294-216; 026-048-337-782-586; 028-465-742-677-608; 036-020-983-619-220; 046-160-544-553-36X; 054-215-204-605-27X; 064-650-243-444-99X; 068-199-303-808-41X; 078-337-598-194-317; 087-517-407-863-19X; 088-318-849-093-879; 090-060-366-784-524; 098-628-398-443-708; 104-887-804-743-661; 110-519-686-620-633; 115-297-186-768-237; 147-011-636-913-206; 181-820-719-831-591,0,false,,
092-733-216-044-850,Gestión de conocimiento: la solución para disminuir el reproceso en las pruebas de software,2012-12-21,2012,journal article,Ingenierías USBMed,20275846,Universidad de San Buenaventura,,Luz Ángela Perona Ossaba; Juan Esteban Velásquez Isaza,"La gestion de conocimiento se ha convertido en una clave fundamental en los procesos de la ingenieria de software, permitiendo mejorar y optimizar cada una de las actividades que se ejecutan durante todo el ciclo de desarrollo de software. Cada una de las etapas de la ingenieria de software ha adoptado de la gestion de conocimiento algunas caracteristicas, de acuerdo con las necesidades que se presentan, adecuandolos y fortaleciendolos para reducir los tiempos y disminuir la fuga de informacion dentro de las organizaciones. Es por esto que las pruebas de software han adoptado la gestion de conocimiento como la alternativa para disminuir el reproceso en las pruebas de software.",3,2,48,53,,Knowledge Management (KM); Software Engineering; Software Development; Software Testing,,,,https://dialnet.unirioja.es/servlet/articulo?codigo=4694364 https://dialnet.unirioja.es/descarga/articulo/4694364.pdf http://bibliotecadigital.usb.edu.co/bitstream/10819/1450/1/Gesti%c3%b3n_Conocimiento_Reproceso__Perona_2012.pdf https://revistas.usbbog.edu.co/index.php/IngUSBmed/article/download/274/188 http://bibliotecadigital.usb.edu.co/handle/10819/1450 https://revistas.usbbog.edu.co/index.php/IngUSBmed/article/view/274 https://core.ac.uk/download/pdf/235962550.pdf,http://dx.doi.org/10.21500/20275846.274,,10.21500/20275846.274,1517111131,,0,003-040-659-277-012; 003-123-397-010-687; 013-711-809-944-86X; 024-843-062-294-216; 051-164-094-807-279; 102-329-568-683-011; 122-445-928-318-805,1,true,cc-by-nc-nd,gold
