title,abstract,authors,year,venue,journal,url,isOpenAccess,openAccessPdf,citationCount,referenceCount,isInfluential,publicationTypes,fieldsOfStudy,externalIds,influentialCitationCount,authors_names,publicationTypes_str,externalIds_str
Synthesizing researches on Knowledge Management and Agile Software Development using the Meta-ethnography method,,"[{'authorId': '23176743', 'name': 'B. Napoleão'}, {'authorId': '23181320', 'name': 'É. Souza'}, {'authorId': '2061491429', 'name': 'Glauco Antonio Ruiz'}, {'authorId': '1757650', 'name': 'K. Felizardo'}, {'authorId': '3433873', 'name': 'G. V. Meinerz'}, {'authorId': '1703620', 'name': 'N. Vijaykumar'}]",2021.0,Journal of Systems and Software,"{'volume': '178', 'pages': '110973', 'name': 'J. Syst. Softw.'}",https://www.semanticscholar.org/paper/49bd993d0ca714263235addb67af441616bad793,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1016/J.JSS.2021.110973?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1016/J.JSS.2021.110973, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",12,51,,"['JournalArticle', 'Review']",['Computer Science'],"{'MAG': '3138966960', 'DBLP': 'journals/jss/NapoleaoSRFMV21', 'DOI': '10.1016/J.JSS.2021.110973', 'CorpusId': 234819480}",0,"B. Napoleão, É. Souza, Glauco Antonio Ruiz, K. Felizardo, G. V. Meinerz, N. Vijaykumar","JournalArticle, Review","MAG:3138966960, DBLP:journals/jss/NapoleaoSRFMV21, DOI:10.1016/J.JSS.2021.110973, CorpusId:234819480"
A Blockchain-based Testing Approach for Collaborative Software Development,"Development of large-scale and complex software systems requires multiple teams, including software development teams, domain experts, user representatives, and other project stakeholders, to work collaboratively to achieve software development goals. These teams rely on the use of agreed software development processes, knowledge management tools, and communication channels collaboratively in the software development project. Software testing is an important and complicated process due to reasons such as difficulties in achieving testing goals with the given time constraint, absence of efficient data sharing policies, vague testing acceptance criteria at various levels of testing, and lack of trusted coordination among the teams involved in software testing. The efficiency of the software testing relies on efficient, reliable, and trusted information sharing among these teams. Existing approaches to software testing for collaborative software development use centralized or decentralize tools for software testing, knowledge management, and communication channels. Existing approaches have the limitations of centralized authority, a single point of failure/compromise, lack of automatic requirement compliance checking and transparency in information sharing, and lack of unified data sharing policy, and reliable knowledge management repositories for sharing and storing past software testing artifacts and data. In this paper, a software testing approach for collaborative software development using private blockchain is presented, and the desirable properties of private blockchain, such as distributed data management, tamper-resistance, auditability and automatic requirement compliance checking, are incorporated to greatly improve the quality of software testing for collaborative software development.","[{'authorId': '31677578', 'name': 'S. Yau'}, {'authorId': '70611441', 'name': 'Jinal S. Patel'}]",2020.0,International Congress on Blockchain and Applications,"{'pages': '98-105', 'name': '2020 IEEE International Conference on Blockchain (Blockchain)'}",https://www.semanticscholar.org/paper/abe321cfc45dde0b39cb2c1647921e74d87159b1,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.1109/Blockchain50366.2020.00020?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/Blockchain50366.2020.00020, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",9,14,,"['JournalArticle', 'Conference']",['Computer Science'],"{'DBLP': 'conf/blockchain2/YauP20', 'MAG': '3112358940', 'DOI': '10.1109/Blockchain50366.2020.00020', 'CorpusId': 228098577}",1,"S. Yau, Jinal S. Patel","JournalArticle, Conference","DBLP:conf/blockchain2/YauP20, MAG:3112358940, DOI:10.1109/Blockchain50366.2020.00020, CorpusId:228098577"
Patients' contribution to the development of a web-based plan for integrated care – a participatory design study,,"[{'authorId': '3485250', 'name': 'Jorunn Bjerkan'}, {'authorId': '14928825', 'name': 'M. Hedlund'}, {'authorId': '1401356879', 'name': 'R. Hellesø'}]",2015.0,Informatics for Health and Social Care,"{'volume': '40', 'pages': '167 - 184', 'name': 'Informatics for Health and Social Care'}",https://www.semanticscholar.org/paper/6c168944107d2d48a109450c10e5efdf3ba535d3,False,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.3109/17538157.2014.907803?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3109/17538157.2014.907803, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",57,61,,['JournalArticle'],['Medicine'],"{'MAG': '2138808027', 'DOI': '10.3109/17538157.2014.907803', 'CorpusId': 40925506, 'PubMed': '24786524'}",3,"Jorunn Bjerkan, M. Hedlund, R. Hellesø",JournalArticle,"MAG:2138808027, DOI:10.3109/17538157.2014.907803, CorpusId:40925506, PubMed:24786524"
Simulation-Based Optimization for Software Dynamic Testing Processes,,"[{'authorId': '144513463', 'name': 'M. Ruiz'}, {'authorId': '1713716', 'name': 'J. Tuya'}, {'authorId': '144293735', 'name': 'D. Crespo'}]",2014.0,,"{'volume': '7', 'pages': '381-390', 'name': ''}",https://www.semanticscholar.org/paper/3a43f0ab441541611844135b24a4fb0fbfa22eff,False,"{'url': '', 'status': None, 'license': None}",4,35,,,['Computer Science'],"{'MAG': '2884161964', 'CorpusId': 70046124}",1,"M. Ruiz, J. Tuya, D. Crespo",,"MAG:2884161964, CorpusId:70046124"
International Journal of Knowledge Engineering,"The International Journal of Knowledge Engineering, ISSN: 0976–5816 & E-ISSN: 0976–5824, aims to publish all the latest and outstanding research articles, reviews and letters in all areas of Knowledge Engineering.","[{'authorId': '52022340', 'name': 'Publisher Bioinfo Publications'}]",2013.0,,"{'volume': '', 'name': ''}",https://www.semanticscholar.org/paper/7d9a9792fb477e799067dc514454b3a55bfbb8fe,True,"{'url': 'https://doi.org/10.9735/0976-5816', 'status': 'CLOSED', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.18178/ijke?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.18178/ijke, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",2,25,,['Review'],['Medicine'],"{'MAG': '2186436098', 'DOI': '10.18178/ijke', 'CorpusId': 74623759}",0,Publisher Bioinfo Publications,Review,"MAG:2186436098, DOI:10.18178/ijke, CorpusId:74623759"
Gestión de conocimiento: la solución para disminuir el reproceso en las pruebas de software,"La gestion de conocimiento se ha convertido en una clave fundamental en los procesos de la ingenieria de software, permitiendo mejorar y optimizar cada una de las actividades que se ejecutan durante todo el ciclo de desarrollo de software. Cada una de las etapas de la ingenieria de software ha adoptado de la gestion de conocimiento algunas caracteristicas, de acuerdo con las necesidades que se presentan, adecuandolos y fortaleciendolos para reducir los tiempos y disminuir la fuga de informacion dentro de las organizaciones. Es por esto que las pruebas de software han adoptado la gestion de conocimiento como la alternativa para disminuir el reproceso en las pruebas de software.","[{'authorId': '97683086', 'name': 'Luz Ángela Perona Ossaba'}, {'authorId': '2042469978', 'name': 'Juan Manuel Velásquez Isaza'}]",2012.0,,"{'volume': '3', 'pages': '48-53', 'name': 'Ingenierías USBMed'}",https://www.semanticscholar.org/paper/f04066e4e9ce4e0474ce5de07bf3cf6a0e1c9af9,True,"{'url': 'http://revistas.usbbog.edu.co/index.php/IngUSBmed/article/download/274/188', 'status': 'GOLD', 'license': 'CCBYNCSA', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.21500/20275846.274?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.21500/20275846.274, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",2,8,,,['Engineering'],"{'MAG': '1517111131', 'DOI': '10.21500/20275846.274', 'CorpusId': 108598281}",0,"Luz Ángela Perona Ossaba, Juan Manuel Velásquez Isaza",,"MAG:1517111131, DOI:10.21500/20275846.274, CorpusId:108598281"
Investigating Software Testing Practices in Software Development Organizations,"Software testing, which is a knowledge-intensive and collaborative activity, is a sub-area of software engineering. Software testing knowledge can be applied to different testing tasks and purposes. Since software development is an error-prone task, in order to achieve quality software products, validation and verification should be carried throughout the development. This study, using qualitative methods, investigates the current practice of software testing practices in two software companies on the basis that they both claimed to apply software testing practices in their software development work. Interview results revealed some interesting latest trends in software testing from both companies.","[{'authorId': '1996978', 'name': 'S. Vasanthapriyan'}]",2020.0,,"{'volume': '', 'pages': '251-265', 'name': ''}",https://www.semanticscholar.org/paper/091b3152f3d842f7f71dc43d6f4787a2c2f1895f,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.4018/978-1-7998-2531-9.ch011?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.4018/978-1-7998-2531-9.ch011, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",0,24,,,['Engineering'],"{'MAG': '3009894629', 'DOI': '10.4018/978-1-7998-2531-9.ch011', 'CorpusId': 216317988}",0,S. Vasanthapriyan,,"MAG:3009894629, DOI:10.4018/978-1-7998-2531-9.ch011, CorpusId:216317988"
Knowledge Management in Software Testing: A Systematic Snowball Literature Review,,"[{'authorId': '1776164', 'name': 'K. Wnuk'}, {'authorId': '51304769', 'name': 'Thrinay Garrepalli'}]",2018.0,e-Informatica Software Engineering Journal,"{'volume': '12', 'pages': '51-78', 'name': 'e Informatica Softw. Eng. J.'}",https://www.semanticscholar.org/paper/777302047fa20df288aec1d2a72fef296deae4f2,False,"{'url': '', 'status': None, 'license': None, 'disclaimer': ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.5277/e-Inf180103?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.5277/e-Inf180103, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.""}",31,71,,"['JournalArticle', 'Review']",['Computer Science'],"{'MAG': '2767729049', 'DBLP': 'journals/eInformatica/WnukG18', 'DOI': '10.5277/e-Inf180103', 'CorpusId': 52275199}",0,"K. Wnuk, Thrinay Garrepalli","JournalArticle, Review","MAG:2767729049, DBLP:journals/eInformatica/WnukG18, DOI:10.5277/e-Inf180103, CorpusId:52275199"
KNOWLEDGE GRID MODEL IN FACILITATING KNOWLEDGE SHARING AMONG BIG DATA COMMUNITY,"This systematic literature review (SLR) aimed to identify issues of knowledge sharing in big data community as a huge amount of data and highlight the knowledge grid’s characteristics which can improve knowledge flow between members of a community. In achieving the objectives, this study follows Kitchenham’s, (2009) method for SLR. In consequence, three research questions have been chosen in the first phase and in following phases all the related article which help to answer the research questions by the keywords that have been collected. Analysis of results revealed the difficulty of knowledge sharing between community members’ interaction and collaboration and there is a gap in researches on big data user’s roles on sharing through the big data community. Moreover, knowledge grid as communication infrastructure can effectively acquire, represents and exchanges massive amount of knowledge however current knowledge grid models focus on knowledge discovery through big data and there is a lack of efficient knowledge grid model for distributing knowledge among community members by considering their influence on knowledge.","[{'authorId': '121882102', 'name': 'Sara Hosseinioun'}]",2018.0,,"{'volume': '2', 'pages': '17-18', 'name': ''}",https://www.semanticscholar.org/paper/4725df53e274d1d572cb1949fa23887bbdb471cc,True,"{'url': 'https://doi.org/10.26480/aim.01.2018.17.18', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: Paper or abstract available at https://api.unpaywall.org/v2/10.26480/AIM.01.2018.17.18?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.26480/AIM.01.2018.17.18, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",4,50,,['Review'],['Computer Science'],"{'MAG': '2810519008', 'DOI': '10.26480/AIM.01.2018.17.18', 'CorpusId': 169262463}",0,Sara Hosseinioun,Review,"MAG:2810519008, DOI:10.26480/AIM.01.2018.17.18, CorpusId:169262463"
Modelo de gestión de conocimiento aplicado a las pruebas de software,,"[{'authorId': '50974829', 'name': 'D. Duran'}]",2018.0,,,https://www.semanticscholar.org/paper/e137b4f2adf3bfc22fd62d33e324179cdb197951,False,"{'url': '', 'status': None, 'license': None}",1,114,,,['Computer Science'],"{'DBLP': 'phd/lareferencia/Duran18', 'CorpusId': 276840825}",0,D. Duran,,"DBLP:phd/lareferencia/Duran18, CorpusId:276840825"
