Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Synthesizing researches on Knowledge Management and Agile Software Development using the Meta-ethnography method","Abstract Context: Software development processes are considered as knowledge intensive and therefore Knowledge Management (KM) can be applied to efficiently manage the knowledge generated. Agile practices can benefit software organizations in terms of KM. Some studies have already presented evidence about this relationship. However, the intersection of these two areas still requires further clarification. Objective: This study synthesizes research on KM and Agile Software Development (ASD) using the meta-ethnography method considering Scrum and XP frameworks. Method: In order to achieve the proposed goal, first, a diagnostic was conducted in different project domains with agile and traditional software development in order to identify the performance of KM activities. Second, the phases of the meta-ethnography analysis method were applied in a set of studies selected from a tertiary review on KM and ASD, as well as classic guides and area references. Finally, the relationships that were identified among the areas investigated were analyzed from interviews with agile development methodology experts. Results: The most common activity investigated between KM and ASD is knowledge sharing. However, in the practical view of software development companies, the attention is on how to use the generated knowledge. Conclusion: The clarification of how KM is present in each agile value, practices, and artifacts allows a reflection on how much knowledge was created, shared, and applied during ASD. Besides, such results presented in this study enable organizations to know each other better and to explore more each KM activity, thus contributing to delivering more value to the customer.","B. Napoleão; É. Souza; Glauco Antonio Ruiz; K. Felizardo; G. V. Meinerz; N. Vijaykumar","2021","Journal of Systems and Software","10.1016/j.jss.2021.110973","12","Include"
"A Blockchain-based Testing Approach for Collaborative Software Development","Development of large-scale and complex software systems requires multiple teams, including software development teams, domain experts, user representatives, and other project stakeholders, to work collaboratively to achieve software development goals. These teams rely on the use of agreed software development processes, knowledge management tools, and communication channels collaboratively in the software development project. Software testing is an important and complicated process due to reasons such as difficulties in achieving testing goals with the given time constraint, absence of efficient data sharing policies, vague testing acceptance criteria at various levels of testing, and lack of trusted coordination among the teams involved in software testing. The efficiency of the software testing relies on efficient, reliable, and trusted information sharing among these teams. Existing approaches to software testing for collaborative software development use centralized or decentralize tools for software testing, knowledge management, and communication channels. Existing approaches have the limitations of centralized authority, a single point of failure/compromise, lack of automatic requirement compliance checking and transparency in information sharing, and lack of unified data sharing policy, and reliable knowledge management repositories for sharing and storing past software testing artifacts and data. In this paper, a software testing approach for collaborative software development using private blockchain is presented, and the desirable properties of private blockchain, such as distributed data management, tamper-resistance, auditability and automatic requirement compliance checking, are incorporated to greatly improve the quality of software testing for collaborative software development.","S. Yau; Jinal S. Patel","2020","International Congress on Blockchain and Applications","10.1109/blockchain50366.2020.00020","9","Include"
"Patients' contribution to the development of a web-based plan for integrated care – a participatory design study","Adult patients and parents participating in the study provided various insights and expectations that informed system improvements and resulted in new functionality. System development and testing in healthcare can successfully incorporate patient involvement.","Jorunn Bjerkan; M. Hedlund; R. Hellesø","2015","Informatics for Health and Social Care","10.3109/17538157.2014.907803","58","Include"
"Simulation-Based Optimization for Software Dynamic Testing Processes","Abstract- Managing software development projects requires the coordination of different processes that may be performed by different teams, e.g., a development team and a separate testing team. This coordination aims at optimizing the trade-off between cost, schedule and delivered quality. Simulation models are a powerful tool to explore what-if scenarios that help managers to achieve this trade-off and to fine-tune different project parameters. This paper presents a simulation model based on a multi-paradigm approach that connects development and testing processes. The testing process model is based on the process model described in the ISO/IEC/IEEE 29119-2:2013 standard. The simulation model is built using two different methods: the discrete-event approach, to simulate the execution of the dynamic testing processes, and the agent-based approach, to in-depth simulate defects life cycle. Results show how the simulation model is used to explore the evolution of a number of process metrics. Then, the simulation model is used to determine the resource distributions in order to optimize two relevant process metrics: the efficiency of the testing process and the average defect life.","M. Ruiz; J. Tuya; D. Crespo","2014","Consultation of the Doctoral Thesis Database (TESEO) (Ministerio de Educación, Cultura y Deporte)","-","4","Include"
"International Journal of Knowledge Engineering","The International Journal of Knowledge Engineering, ISSN: 0976–5816 & E-ISSN: 0976–5824, aims to publish all the latest and outstanding research articles, reviews and letters in all areas of Knowledge Engineering.","Publisher Bioinfo Publications","2013","-","10.18178/ijke","2","Include"
"Gestión de conocimiento: la solución para disminuir el reproceso en las pruebas de software","La gestion de conocimiento se ha convertido en una clave fundamental en los procesos de la ingenieria de software, permitiendo mejorar y optimizar cada una de las actividades que se ejecutan durante todo el ciclo de desarrollo de software. Cada una de las etapas de la ingenieria de software ha adoptado de la gestion de conocimiento algunas caracteristicas, de acuerdo con las necesidades que se presentan, adecuandolos y fortaleciendolos para reducir los tiempos y disminuir la fuga de informacion dentro de las organizaciones. Es por esto que las pruebas de software han adoptado la gestion de conocimiento como la alternativa para disminuir el reproceso en las pruebas de software.","Luz Ángela Perona Ossaba; Juan Manuel Velásquez Isaza","2012","Ingenierías USBmed","10.21500/20275846.274","2","Include"
"Investigating Software Testing Practices in Software Development Organizations","Software testing, which is a knowledge-intensive and collaborative activity, is a sub-area of software engineering. Software testing knowledge can be applied to different testing tasks and purposes. Since software development is an error-prone task, in order to achieve quality software products, validation and verification should be carried throughout the development. This study, using qualitative methods, investigates the current practice of software testing practices in two software companies on the basis that they both claimed to apply software testing practices in their software development work. Interview results revealed some interesting latest trends in software testing from both companies.","S. Vasanthapriyan","2020","Advances in computer and electrical engineering book series","10.4018/978-1-7998-2531-9.ch011","-","Include"
"Knowledge Management in Software Testing: A Systematic Snowball Literature Review","Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core processes and attain the benefits that it provides in terms of cost, quality, etc. Aim: To investigate the usage and implementation of KM for software testing. The major objectives include 1. To identify various software testing aspects that receive more attention while applying KM. 2. To analyse multiple software testing techniques, i.e. test design, test execution and test result analysis and highlight KM involvement in these. 3. To gather challenges faced by industry due to the lack of KM initiatives in software testing. Method: A Systematic Literature Review (SLR) was conducted utilizing the guidelines for snowballing reviews by Wohlin. The identified studies were analysed in relation to their rigor and relevance to assess the quality of the results. Results: The initial resulting set provided 4832 studies. From these, 35 peer-reviewed papers were chosen among which 31 are primary, and 4 are secondary studies. The literature review results indicated nine testing aspects being in focus when applying KM within various adaptation contexts and some benefits from KM application. Several challenges were identified, e.g., improper selection and application of better-suited techniques, a low reuse rate of software testing knowledge, barriers in software testing knowledge transfer, no possibility to quickly achieve the most optimum distribution of human resources during testing, etc. Conclusions: The study brings supporting evidence that the application of KM in software testing is necessary, e.g., to increase test effectiveness, select and apply testing techniques. The study outlines the testing aspects and testing techniques that benefit their users.","K. Wnuk; Thrinay Garrepalli","2018","e-Informatica Software Engineering Journal","10.5277/e-inf180103","35","Include"
"KNOWLEDGE GRID MODEL IN FACILITATING KNOWLEDGE SHARING AMONG BIG DATA COMMUNITY","This systematic literature review (SLR) aimed to identify issues of knowledge sharing in big data community as a huge amount of data and highlight the knowledge grid’s characteristics which can improve knowledge flow between members of a community. In achieving the objectives, this study follows Kitchenham’s, (2009) method for SLR. In consequence, three research questions have been chosen in the first phase and in following phases all the related article which help to answer the research questions by the keywords that have been collected. Analysis of results revealed the difficulty of knowledge sharing between community members’ interaction and collaboration and there is a gap in researches on big data user’s roles on sharing through the big data community. Moreover, knowledge grid as communication infrastructure can effectively acquire, represents and exchanges massive amount of knowledge however current knowledge grid models focus on knowledge discovery through big data and there is a lack of efficient knowledge grid model for distributing knowledge among community members by considering their influence on knowledge.","Sara Hosseinioun","2018","Acta Informatica Malaysia","10.26480/aim.01.2018.17.18","4","Include"
"Modelo de gestión de conocimiento aplicado a las pruebas de software","Las pruebas de software son una actividad intensiva en conocimiento y relevante para asegurar la calidad del producto de software. Por otro lado, la gestion de conocimiento es una disciplina transversal en las organizaciones que contribuye al aprendizaje organizacional y a la mejora continua de los procesos. A nivel academico y empresarial, existen varias iniciativas para articular la gestion del conocimiento a las pruebas de software, siendo la adopcion de estas practicas costosas y con largos periodos de implementacion, y en algunos casos, el esfuerzo invertido resulta infructuoso. Partiendo que el individuo es el principal dinamizador de cualquier estrategia para gestionar el conocimiento, las organizaciones intensivas en conocimiento deben ser analizadas como un sistema multicapa que integran tres niveles individual, grupal y organizacional. En consecuencia, en esta tesis se presenta un modelo de gestion de conocimiento que articula las practicas y actividades de las pruebas de software desde una estrategia individual basada en los principios de mejora continua y aprendizaje organizacional. El modelo se soporta en la definicion de un proceso de prueba personal basado en conocimiento (PTPk) que instancia la estructura e intencionalidad del proceso de software personal (PSP) e integra practicas de calidad a traves del aprendizaje basado en experiencias que inciden en la cultura y la conducta del profesional de pruebas de software.","D. Duran","2018","-","-","1","Include"
