Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"GHM Oliveira, RF Albuquerque…","A comprehensive study on knowledge management applied to embedded system testing processes",2019,"… (CSE) and IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8919610/","",11,"2026-01-15 11:50:53","","","","",,,,,0,0.00,0,3,7,"Numerous commercial electronic devices such as computers and mobile phones are composed of embedded systems. In general, these systems present complex functionalities …","","https://scholar.google.com/scholar?q=related:Up6OHTXoDZkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"DES Duran, AXR Gamboa, JJ Builes","Application of Knowledge Management to the software testing process",,"revistaespacios.com","","https://www.revistaespacios.com/a17v38n43/a17v38n43p20.pdf","",13,"2026-01-15 11:50:53","PDF","","","",,,,,0,0.00,0,3,,"In the software life cycle, testing is a relevant activity that contributes to product quality and is fundamentally supported by knowledge. Consequently, knowledge management integrated …","https://www.revistaespacios.com/a17v38n43/a17v38n43p20.pdf","https://scholar.google.com/scholar?q=related:tO5X2uZmu3MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"DE SOTO, AX REYES, J JIMÉNEZ","Application of Knowledge Management to the software testing process",2017,"Revista ESPACIOS","revistaespacios.com","https://www.revistaespacios.com/a17v38n43/17384320.html","",14,"2026-01-15 11:50:53","HTML","","","",,,,,0,0.00,0,3,9,"In the software life cycle, testing is a relevant activity that contributes to product quality and is fundamentally supported by knowledge. Consequently, knowledge management integrated …","https://www.revistaespacios.com/a17v38n43/17384320.html","https://scholar.google.com/scholar?q=related:mKb-W8umuWkJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"C Mkhonto","Improving Software Quality Through the Introduction of Tertiary-Level Software Testing Curricula",2016,"","search.proquest.com","https://search.proquest.com/openview/b566579a33a77b3beb255efa2cf362a1/1?pq-origsite=gscholar&cbl=2026366&diss=y","",15,"2026-01-15 11:50:53","BOOK","","","",,,,,0,0.00,0,1,10,"The cost of poor software quality can have a devastating effect on Information Technology (IT) companies. The price of poor software can be very high, leading to loss of revenue, bad …","https://ujcontent.uj.ac.za/esploro/fulltext/graduate/Improving-software-quality-through-the-introduction/9912143207691?repId=124903500007691&mId=135523170007691&institution=27UOJ_INST","https://scholar.google.com/scholar?q=related:ncpbbtSB-hoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"M Noroozi, S Saedi, M Taherian…","SRAD: a semantic rapid method for software development",2012,"Proceedings of the Fifth …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2347583.2347597","",16,"2026-01-15 11:50:53","","10.1145/2347583.2347597","","",,,,,0,0.00,0,4,14,"Using the Semantic Web (SW) technologies in Software Engineering (SE) is one way of overcoming current SE problems. In this article, we have proposed a semantic method for …","https://dl.acm.org/doi/pdf/10.1145/2347583.2347597","https://scholar.google.com/scholar?q=related:RKSwlHFcOmIJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"DES Durán, KV Suaza, JCG Mejía…","Capítulo XV REVISIÓN SISTEMÁTICA DE LITERATURA: FACTORES QUE AFECTAN EL PROCESO DE PRUEBAS DE SOFTWARE",,"Investigación e …","researchgate.net","https://www.researchgate.net/profile/John-Escobar/publication/339031869_Sistemas_de_Soporte_a_las_Decisiones_Espaciales_Caso_de_Aplicacion_Mapificacion_de_Servicios_Ecosistemicos_en_la_Gestion_Territorial_Urbana/links/5eb4137f299bf152d6a282e3/Sistemas-de-Soporte-a-las-Decisiones-Espaciales-Caso-de-Aplicacion-Mapificacion-de-Servicios-Ecosistemicos-en-la-Gestion-Territorial-Urbana.pdf#page=171","",17,"2026-01-15 11:50:53","PDF","","","",,,,,0,0.00,0,4,,"El objetivo de las pruebas de software (PS) es garantizar que el producto cumpla con las funcionalidades requeridas y satisfaga con un nivel de calidad aceptable [1]. Las PS son el …","https://www.researchgate.net/profile/John-Escobar/publication/339031869_Sistemas_de_Soporte_a_las_Decisiones_Espaciales_Caso_de_Aplicacion_Mapificacion_de_Servicios_Ecosistemicos_en_la_Gestion_Territorial_Urbana/links/5eb4137f299bf152d6a282e3/Sistemas-de-Soporte-a-las-Decisiones-Espaciales-Caso-de-Aplicacion-Mapificacion-de-Servicios-Ecosistemicos-en-la-Gestion-Territorial-Urbana.pdf#page=171","https://scholar.google.com/scholar?q=related:bo7xZImjSfQJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"D de Autoría","Estrategia de Gestión del Conocimiento para el Laboratorio de Pruebas de Software de la Universidad de las Ciencias Informáticas",,"researchgate.net","","https://www.researchgate.net/profile/Celia-Soulary-Reyes/publication/316558394_Estrategia_de_Gestion_del_Conocimiento_para_el_Laboratorio_de_Pruebas_de_Software_de_la_Universidad_de_las_Ciencias_Informaticas/links/590407aaaca272116d2fcbf7/Estrategia-de-Gestion-del-Conocimiento-para-el-Laboratorio-de-Pruebas-de-Software-de-la-Universidad-de-las-Ciencias-Informaticas","",18,"2026-01-15 11:50:53","DOC","","","",,,,,0,0.00,0,1,,"La gestión del conocimiento constituye un factor clave en las organizaciones que realizan pruebas de software externas. Dado el papel predominante que desempeñan las personas …","https://www.researchgate.net/profile/Celia-Soulary-Reyes/publication/316558394_Estrategia_de_Gestion_del_Conocimiento_para_el_Laboratorio_de_Pruebas_de_Software_de_la_Universidad_de_las_Ciencias_Informaticas/links/590407aaaca272116d2fcbf7/Estrategia-de-Gestion-del-Conocimiento-para-el-Laboratorio-de-Pruebas-de-Software-de-la-Universidad-de-las-Ciencias-Informaticas","https://scholar.google.com/scholar?q=related:ASTAbi7DbB4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"LA Perona Ossaba, JE Velásquez Isaza","Gestión de conocimiento: la solución para disminuir el reproceso en las pruebas de software",2012,"Ingenierías USBMed","metarevistas.org","https://www.metarevistas.org/Record/metarevistapublica_unisanbuenaventura_ingenieriasusbmed_57_article_274","",19,"2026-01-15 11:50:53","","","","",,,,,0,0.00,0,2,14,"La gestión de conocimiento se ha convertido en una clave fundamental en los procesos de la ingeniería de software, permitiendo mejorar y optimizar cada una de las actividades que …","","https://scholar.google.com/scholar?q=related:po3-DerTBKgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
0,"ALS da Cunha Freitas, R Vieira","Ontologias para Teste de Desempenho de Software",,"","","","",21,"2026-01-15 11:50:53","CITATION","","","",,,,,0,0.00,0,2,,"","","https://scholar.google.com/scholar?q=related:5xLYMLuMl50J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
1,"AL SILVA","Ontologia para teste de desempenho de software",2013,"","… Católica do Rio Grande do Sul","","https://scholar.google.com/scholar?cites=12634937958177938691&as_sdt=2005&sciodt=0,5&hl=en",20,"2026-01-15 11:50:53","CITATION","","","",,,,,1,0.08,1,1,13,"","","https://scholar.google.com/scholar?q=related:A51LVCFRWK8J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"T Garrepalli","Knowledge Management in software testing",2015,"","diva-portal.org","https://www.diva-portal.org/smash/record.jsf?pid=diva2:869051","https://scholar.google.com/scholar?cites=15581790248248607548&as_sdt=2005&sciodt=0,5&hl=en",9,"2026-01-15 11:50:53","HTML","","","",,,,,2,0.18,2,1,11,"Knowledge Management in Software Testing diva-portal.org Digitala Vetenskapliga Arkivet Simple search Advanced search - Research publicationsAdvanced search - Student theses …","https://www.diva-portal.org/smash/record.jsf?pid=diva2:869051","https://scholar.google.com/scholar?q=related:PAOBx6yjPdgJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
2,"LAP Ossaba, JEV Isaza","Gestión de conocimiento: la solución para disminuir el reproceso en las pruebas de software",2012,"Ingenierías USBMed","revistas.usb.edu.co","https://revistas.usb.edu.co/index.php/IngUSBmed/article/view/274","https://scholar.google.com/scholar?cites=1873768704805414366&as_sdt=2005&sciodt=0,5&hl=en",12,"2026-01-15 11:50:53","","","","",,,,,2,0.14,1,2,14,"La gestión de conocimiento se ha convertido en una clave fundamental en los procesos de la ingeniería de software, permitiendo mejorar y optimizar cada una de las actividades que …","https://revistas.usb.edu.co/index.php/IngUSBmed/article/download/274/188","https://scholar.google.com/scholar?q=related:3qUrmbX2ABoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
3,"M Ruiz, PJ Tuya González, D Crespo","Simulation-based optimization for software dynamic testing processes",2014,"International Journal on …","digibuo.uniovi.es","https://digibuo.uniovi.es/dspace/handle/10651/30822","https://scholar.google.com/scholar?cites=9114762696336449141&as_sdt=2005&sciodt=0,5&hl=en",8,"2026-01-15 11:50:53","","","","",,,,,3,0.25,1,3,12,"Managing software development projects requires the coordination of different processes that may be performed by different teams, eg, a development team and a separate testing …","https://digibuo.uniovi.es/dspace/bitstream/handle/10651/30822/soft_v7_n12_2014_30.pdf?sequence=1","https://scholar.google.com/scholar?q=related:dZ4dV2Ekfn4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
4,"ALSC Freitas","Ontologia para teste de desempenho de software",2013,"","tede2.pucrs.br","https://tede2.pucrs.br/tede2/handle/tede/5224","https://scholar.google.com/scholar?cites=10619252915659519642&as_sdt=2005&sciodt=0,5&hl=en",10,"2026-01-15 11:50:53","","","","",,,,,4,0.31,4,1,13,"RESUMO O teste de software é uma técnica utilizada para fornecer informações sobre a qualidade de um software operando em um contexto específico. O tipo de teste responsável …","https://tede2.pucrs.br/tede2/bitstream/tede/5224/1/449315.pdf","https://scholar.google.com/scholar?q=related:mrbqeUMqX5MJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
11,"DES Durán, AXR Gamboa, JJ Builes","Aplicación de la Gestión de Conocimiento al proceso de pruebas de software",2017,"Ingenierías USBMed","academia.edu","https://www.academia.edu/download/73346193/2642.pdf","https://scholar.google.com/scholar?cites=3845847293881799410&as_sdt=2005&sciodt=0,5&hl=en",7,"2026-01-15 11:50:53","HTML","","","",,,,,11,1.22,4,3,9,"La gestión del conocimiento tiene como propósito aprovechar el conocimiento para generar valor a nivel organizacional, soportado en procesos, herramientas y actividades para lograr …","https://www.academia.edu/download/73346193/2642.pdf","https://scholar.google.com/scholar?q=related:8tI41LwxXzUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
14,"H Hnatiienko, V Hnatiienko, R Zulunov, T Babenko…","Method for Determining the Level of Criticality Elements when Ensuring the Functional Stability of the System based on Role Analysis of Elements.",2024,"CPITS","ceur-ws.org","https://ceur-ws.org/Vol-3654/paper25.pdf","https://scholar.google.com/scholar?cites=959690066339937930&as_sdt=2005&sciodt=0,5&hl=en",3,"2026-01-15 11:50:53","PDF","","","",,,,,14,7.00,3,5,2,"The introduction of artificial intelligence technologies in the education process has become an urgent need at the current pace of development of society. The integration of various …","https://ceur-ws.org/Vol-3654/paper25.pdf","https://scholar.google.com/scholar?q=related:ir6p2geBUQ0J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
23,"P Nidagundi, L Novickis","Introduction to Lean Canvas Transformation Models and Metrics in Software Testing.",2016,"Appl. Comput. Syst.","sciendo.com","https://sciendo.com/pdf/10.1515/acss-2016-0004","https://scholar.google.com/scholar?cites=6550730011058938737&as_sdt=2005&sciodt=0,5&hl=en",5,"2026-01-15 11:50:53","PDF","10.1515/acss-2016-0004","","",,,,,23,2.30,12,2,10,"Software plays a key role nowadays in all fields, from simple up to cutting-edge technologies and most of technology devices now work on software. Software development verification …","https://sciendo.com/pdf/10.1515/acss-2016-0004","https://scholar.google.com/scholar?q=related:caOo4Dze6FoJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
24,"Z Sun, C Hu, C Li, L Wu","Domain ontology construction and evaluation for the entire process of software testing",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9253652/","https://scholar.google.com/scholar?cites=8501790012146863686&as_sdt=2005&sciodt=0,5&hl=en",2,"2026-01-15 11:50:53","","","","",,,,,24,4.00,6,4,6,"As an important part of software engineering, software testing is a knowledge-intensive work. In the process of software testing, inconsistent knowledge expression, diverse …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09253652.pdf","https://scholar.google.com/scholar?q=related:Rk76vPhs_HUJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
24,"R Chen, H Zhou","Efficient algorithms for buffer insertion in general circuits based on network flow",2005,"ICCAD-2005. IEEE/ACM International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1560087/","https://scholar.google.com/scholar?cites=12574216376686249960&as_sdt=2005&sciodt=0,5&hl=en",6,"2026-01-15 11:50:53","","","","",,,,,24,1.14,12,2,21,"With shrinking VLSI feature sizes and increasing overall chip areas, buffering has emerged as an effective solution to the problem of growing interconnect delays in modern designs …","http://www.eecs.northwestern.edu/~haizhou/publications/iccad05chen.pdf","https://scholar.google.com/scholar?q=related:6IdIbSyXgK4J:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
34,"A Freitas, R Vieira","An ontology for guiding performance testing",2014,"2014 IEEE/WIC/ACM International Joint …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6927571/","https://scholar.google.com/scholar?cites=11264529177933759581&as_sdt=2005&sciodt=0,5&hl=en",4,"2026-01-15 11:50:53","","","","",,,,,34,2.83,17,2,12,"Software test is a technique to obtain information about software systems quality. Performance test is a type of software test that aims at evaluating software performance at a …","https://repositorio.pucrs.br/dspace/bitstream/10923/14039/2/An_Ontology_for_Guiding_Performance_Testing.pdf","https://scholar.google.com/scholar?q=related:XcTD9JqlU5wJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
47,"K Wnuk, T Garrepalli","Knowledge management in software testing: a systematic snowball literature review",2018,"e-Informatica Software Engineering …","yadda.icm.edu.pl","https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-fd27294c-dc79-4c73-a97a-9fd519b0a713","https://scholar.google.com/scholar?cites=10016090599045724182&as_sdt=2005&sciodt=0,5&hl=en",1,"2026-01-15 11:50:53","","","","",,,,,47,5.88,24,2,8,"Background: Software testing benefits from the usage of Knowledge Management (KM) methods and principles. Thus, there is a need to adopt KM to the software testing core …","https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-fd27294c-dc79-4c73-a97a-9fd519b0a713/c/wnuk_knowledge_1_2018.pdf","https://scholar.google.com/scholar?q=related:Fvg_ElVNAIsJ:scholar.google.com/&scioq=&hl=en&as_sdt=2005&sciodt=0,5"
