oci,citing,cited,creation,timespan,journal_sc,author_sc
061801118135-061203116252,10.1016/j.techfore.2021.121390,10.1016/j.infsof.2016.07.006,2022-02,P5Y3M,no,no
06330512019-061203116252,10.5753/educomp.2024.237414,10.1016/j.infsof.2016.07.006,2024-04-22,P7Y5M,no,no
061801631270-061203116252,10.1007/978-3-030-89735-2_23,10.1016/j.infsof.2016.07.006,2021-10-22,P4Y11M,no,no
061401733531-061203116252,10.4018/ijswis.302895,10.1016/j.infsof.2016.07.006,2022,P5Y,no,no
06704607669-061203116252,10.1109/fie58773.2023.10343344,10.1016/j.infsof.2016.07.006,2023-10-18,P6Y11M,no,no
061103131238-061203116252,10.1016/j.infsof.2021.106607,10.1016/j.infsof.2016.07.006,2021-09,P4Y10M,yes,no
0604953153-061203116252,10.1145/3701625.3701690,10.1016/j.infsof.2016.07.006,2024-11-05,P8Y0M,no,no
06350146539-061203116252,10.1109/tse.2022.3171202,10.1016/j.infsof.2016.07.006,2023-03-01,P6Y4M,no,no
061401030448-061203116252,10.1007/s10664-019-09711-y,10.1016/j.infsof.2016.07.006,2019-04-23,P2Y5M,no,yes
061203116073-061203116252,10.1016/j.infsof.2017.12.006,10.1016/j.infsof.2016.07.006,2018-06,P1Y7M,yes,no
0620587964-061203116252,10.1016/j.jss.2021.111166,10.1016/j.infsof.2016.07.006,2022-04,P5Y5M,no,no
061401030103-061203116252,10.1007/s10664-021-10044-y,10.1016/j.infsof.2016.07.006,2022-02-08,P5Y3M,no,no
061603521021-061203116252,10.1145/3572905,10.1016/j.infsof.2016.07.006,2023-03-02,P6Y4M,no,no
0690631949-061203116252,10.3389/fdgth.2021.616278,10.1016/j.infsof.2016.07.006,2021-04-15,P4Y5M,no,no
061103131203-061203116252,10.1016/j.infsof.2021.106678,10.1016/j.infsof.2016.07.006,2021-12,P5Y1M,yes,no
06350146662-061203116252,10.1109/tse.2022.3208210,10.1016/j.infsof.2016.07.006,2023-04-01,P6Y5M,no,no
061802948215-061203116252,10.1109/ser-ip52554.2021.00018,10.1016/j.infsof.2016.07.006,2021-06,P4Y7M,no,no
06340361039-061203116252,10.1109/access.2024.3356349,10.1016/j.infsof.2016.07.006,2024,P7Y,no,no
06904283701-061203116252,10.1007/978-3-031-53227-6_16,10.1016/j.infsof.2016.07.006,2024,P7Y,no,no
06601357387-061203116252,10.1002/smr.2235,10.1016/j.infsof.2016.07.006,2019-12-23,P3Y1M,no,yes
06340570144-061203116252,10.1145/3649597,10.1016/j.infsof.2016.07.006,2024-06-03,P7Y7M,no,no
06601357378-061203116252,10.1002/smr.2251,10.1016/j.infsof.2016.07.006,2020-02-06,P3Y3M,no,yes
06204868560-061203116252,10.1007/978-3-031-52261-1_13,10.1016/j.infsof.2016.07.006,2024,P7Y,no,no
06904046572-061203116252,10.1145/3571697.3571700,10.1016/j.infsof.2016.07.006,2022-10-27,P5Y11M,no,no
06601357504-061203116252,10.1002/smr.1964,10.1016/j.infsof.2016.07.006,2018-06-19,P1Y7M,no,no
061803958500-061203116252,10.1145/3571697.3571703,10.1016/j.infsof.2016.07.006,2022-10-27,P5Y11M,no,no
061203427934-061203116252,10.1007/978-3-031-14179-9_9,10.1016/j.infsof.2016.07.006,2022,P5Y,no,no
061702279781-061203116252,10.1145/3512716.3512722,10.1016/j.infsof.2016.07.006,2021-11-12,P5Y0M,no,no
061802367491-061203116252,10.1145/3106237.3117778,10.1016/j.infsof.2016.07.006,2017-08-21,P0Y9M,no,no
062201956423-061203116252,10.1109/tse.2021.3070692,10.1016/j.infsof.2016.07.006,2022-08-01,P5Y9M,no,no
061201138717-061203116252,10.1109/access.2017.2764946,10.1016/j.infsof.2016.07.006,2017,P0Y,no,no
061103131358-061203116252,10.1016/j.infsof.2020.106372,10.1016/j.infsof.2016.07.006,2020-11,P4Y0M,yes,no
062501821738-061203116252,10.1007/978-3-030-70873-3_53,10.1016/j.infsof.2016.07.006,2021,P4Y,no,no
061203115927-061203116252,10.1016/j.infsof.2018.12.003,10.1016/j.infsof.2016.07.006,2019-04,P2Y5M,yes,yes
06501157424-061203116252,10.1109/access.2020.3000095,10.1016/j.infsof.2016.07.006,2020,P3Y,no,no
06504387853-061203116252,10.1108/heswbl-10-2019-0151,10.1016/j.infsof.2016.07.006,2023-08-21,P6Y9M,no,no
