oci,citing,cited,creation,timespan,journal_sc,author_sc
0604953153-061502560483,10.1145/3701625.3701690,10.1145/2647648.2647656,2024-11-05,P10Y1M20D,no,no
061401030448-061502560483,10.1007/s10664-019-09711-y,10.1145/2647648.2647656,2019-04-23,P4Y7M7D,no,no
062202490833-061502560483,10.1145/2896839.2896845,10.1145/2647648.2647656,2016,P1Y,no,no
06601357378-061502560483,10.1002/smr.2251,10.1145/2647648.2647656,2020-02-06,P5Y4M21D,no,no
06502924885-061502560483,10.1109/hicss.2016.672,10.1145/2647648.2647656,2016-01,P1Y3M,no,no
06103972041-061502560483,10.3390/fi14100274,10.1145/2647648.2647656,2022-09-26,P8Y0M10D,no,no
0680790924-061502560483,10.1002/spe.2774,10.1145/2647648.2647656,2019-11-12,P5Y1M27D,no,no
06330472199-061502560483,10.1145/3643664.3648205,10.1145/2647648.2647656,2024-04-16,P9Y7M0D,no,yes
06502670418-061502560483,10.1109/icse-seip.2019.00013,10.1145/2647648.2647656,2019-05,P4Y7M,no,no
062202963506-061502560483,10.1145/3463274.3463338,10.1145/2647648.2647656,2021-06-21,P6Y9M5D,no,no
062103923686-061502560483,10.23919/cisti58278.2023.10211674,10.1145/2647648.2647656,2023-06-20,P8Y9M4D,no,no
062503139090-061502560483,10.1109/icse-seip52600.2021.00034,10.1145/2647648.2647656,2021-05,P6Y7M,no,no
061603442505-061502560483,10.1007/978-3-031-16697-6_2,10.1145/2647648.2647656,2022,P7Y,no,no
061901348649-061502560483,10.1365/s40702-021-00764-6,10.1145/2647648.2647656,2021-08-02,P6Y10M17D,no,no
06202067579-061502560483,10.23919/cisti54924.2022.9820166,10.1145/2647648.2647656,2022-06-22,P7Y9M6D,no,no
062604295762-061502560483,10.1002/smr.2623,10.1145/2647648.2647656,2023-11-08,P9Y1M23D,no,no
061602347883-061502560483,10.1145/3193965.3193970,10.1145/2647648.2647656,2018-05-28,P3Y8M12D,no,no
06304824796-061502560483,10.1145/3629479.3630020,10.1145/2647648.2647656,2023-11-07,P9Y1M22D,no,no
062602265547-061502560483,10.1007/978-3-319-63874-4_15,10.1145/2647648.2647656,2017,P2Y,no,no
06902513773-061502560483,10.1109/icstw.2016.30,10.1145/2647648.2647656,2016-04,P1Y6M,no,no
062301003490-061502560483,10.1007/s11219-016-9319-5,10.1145/2647648.2647656,2016-06-01,P1Y8M16D,no,no
0606838201-061502560483,10.5753/sbqs_estendido.2024.244814,10.1145/2647648.2647656,2024-11-05,P10Y1M20D,no,no
062103548543-061502560483,10.1145/3522664.3528593,10.1145/2647648.2647656,2022-05-16,P7Y8M0D,no,no
061301935801-061502560483,10.3390/su12041682,10.1145/2647648.2647656,2020-02-24,P5Y5M8D,no,no
062103192397-061502560483,10.1145/3439961.3440005,10.1145/2647648.2647656,2020-12,P6Y2M,no,no
06701883956-061502560483,10.1109/secdev.2018.00019,10.1145/2647648.2647656,2018-09,P3Y11M,no,no
062503139116-061502560483,10.1109/icse-seet52601.2021.00025,10.1145/2647648.2647656,2021-05,P6Y7M,no,no
061103131093-061502560483,10.1016/j.infsof.2022.106908,10.1145/2647648.2647656,2022-07,P7Y9M,no,no
061603921979-061502560483,10.1109/re57278.2023.00041,10.1145/2647648.2647656,2023-09,P8Y11M,no,no
061804008370-061502560483,10.1007/978-3-031-39386-0_14,10.1145/2647648.2647656,2023,P8Y,no,no
06502459518-061502560483,10.1007/978-3-030-32610-4_1,10.1145/2647648.2647656,2019-11-25,P5Y2M9D,no,no
06302746838-061502560483,10.1145/3133850.3133868,10.1145/2647648.2647656,2017-10-25,P3Y1M9D,no,no
061103131187-061502560483,10.1016/j.infsof.2021.106717,10.1145/2647648.2647656,2022-01,P7Y3M,no,no
062502435000-061502560483,10.1007/978-3-319-31545-4_12,10.1145/2647648.2647656,2016,P1Y,no,no
0690439671-061502560483,10.1007/s00766-015-0237-z,10.1145/2647648.2647656,2015-08-22,P0Y11M6D,no,yes
062304403242-061502560483,10.1109/access.2024.3384097,10.1145/2647648.2647656,2024,P9Y,no,no
06103661768-061502560483,10.1109/apsec51365.2020.00043,10.1145/2647648.2647656,2020-12,P6Y2M,no,no
061604134482-061502560483,10.2139/ssrn.4725722,10.1145/2647648.2647656,2024,P9Y,no,no
061103131306-061502560483,10.1016/j.infsof.2020.106473,10.1145/2647648.2647656,2021-04,P6Y6M,no,no
062102553288-061502560483,10.1145/3464327.3464367,10.1145/2647648.2647656,2021-06,P6Y8M,no,no
0648072598-061502560483,10.1007/s10664-023-10350-7,10.1145/2647648.2647656,2023-07,P8Y9M,no,no
061904299295-061502560483,10.3390/app142311158,10.1145/2647648.2647656,2024-11-29,P10Y2M13D,no,no
